scenario_id,family_id,category,fault_type,target_V_pu,grid,scr,Rg_ohm,Lg_H,P_load,Q_load,power_factor,t_fault,fault_dur,recover_to_0p9_s,T_sim,trans_resistance,random_seed,xr_ratio,duration_bin_s,scenario_profile
13,7,LVRT,sym3ph,0.1,weak,3.0,46.225,0.220708,286730.7,157535.6,0.8764,0.021827,0.1626,2.0,1.6845,0.0886,20260609,1.5,0.16,expanded
14,7,LVRT,sym3ph,0.1,weak,3.0,46.225,0.220708,340094.4,115326.9,0.947,0.018889,0.1527,2.0,1.6716,0.2023,20260609,1.5,0.16,expanded
15,8,LVRT,sym3ph,0.1,weak,3.0,46.225,0.220708,304543.8,126031.5,0.924,0.01766,0.5367,2.0,2.0543,0.6969,20260609,1.5,0.5,expanded
16,8,LVRT,sym3ph,0.1,weak,3.0,46.225,0.220708,320663.5,183555.1,0.8679,0.019495,0.5381,2.0,2.0576,0.6789,20260609,1.5,0.5,expanded
17,9,LVRT,sym3ph,0.1,weak,3.0,26.3523,0.251646,348767.9,117095.9,0.948,0.013695,0.1411,2.0,1.6548,0.6394,20260609,3.0,0.16,expanded
18,9,LVRT,sym3ph,0.1,weak,3.0,26.3523,0.251646,327999.4,180683.5,0.8759,0.017006,0.1428,2.0,1.6598,0.3862,20260609,3.0,0.16,expanded
19,10,LVRT,sym3ph,0.1,weak,3.0,26.3523,0.251646,295391.7,169984.9,0.8667,0.016301,0.5319,2.0,2.0482,0.6424,20260609,3.0,0.5,expanded
20,10,LVRT,sym3ph,0.1,weak,3.0,26.3523,0.251646,344080.0,184454.7,0.8813,0.019102,0.5288,2.0,2.0479,0.6251,20260609,3.0,0.5,expanded
21,11,LVRT,sym3ph,0.1,weak,3.0,13.6999,0.261649,315681.9,162441.8,0.8892,0.028575,0.165,2.0,1.6936,0.5001,20260609,6.0,0.16,expanded
22,11,LVRT,sym3ph,0.1,weak,3.0,13.6999,0.261649,335949.6,115200.8,0.9459,0.017568,0.1402,2.0,1.6577,0.3531,20260609,6.0,0.16,expanded
23,12,LVRT,sym3ph,0.1,weak,3.0,13.6999,0.261649,340013.5,205734.3,0.8556,0.020144,0.4926,2.0,2.0128,0.6717,20260609,6.0,0.5,expanded
24,12,LVRT,sym3ph,0.1,weak,3.0,13.6999,0.261649,351355.4,179154.2,0.8909,0.023425,0.4822,2.0,2.0057,0.1342,20260609,6.0,0.5,expanded
25,13,LVRT,sym3ph,0.1,medium,5.0,27.735,0.132425,356125.8,184956.1,0.8875,0.012491,0.1625,2.0,1.675,0.1998,20260609,1.5,0.16,expanded
26,13,LVRT,sym3ph,0.1,medium,5.0,27.735,0.132425,344954.1,194321.0,0.8713,0.027722,0.1779,2.0,1.7057,0.3105,20260609,1.5,0.16,expanded
27,14,LVRT,sym3ph,0.1,medium,5.0,27.735,0.132425,293822.8,103586.9,0.9431,0.019258,0.5272,2.0,2.0465,0.0691,20260609,1.5,0.5,expanded
28,14,LVRT,sym3ph,0.1,medium,5.0,27.735,0.132425,332736.2,153269.8,0.9083,0.024507,0.465,2.0,1.9895,0.271,20260609,1.5,0.5,expanded
29,15,LVRT,sym3ph,0.1,medium,5.0,15.8114,0.150988,342309.9,145360.0,0.9204,0.014185,0.1796,2.0,1.6938,0.419,20260609,3.0,0.16,expanded
30,15,LVRT,sym3ph,0.1,medium,5.0,15.8114,0.150988,307772.8,115322.1,0.9364,0.02638,0.1552,2.0,1.6815,0.5888,20260609,3.0,0.16,expanded
31,16,LVRT,sym3ph,0.1,medium,5.0,15.8114,0.150988,287674.9,107801.5,0.9364,0.029352,0.5255,2.0,2.0548,0.6225,20260609,3.0,0.5,expanded
32,16,LVRT,sym3ph,0.1,medium,5.0,15.8114,0.150988,339556.2,194218.0,0.868,0.023937,0.4981,2.0,2.0221,0.5808,20260609,3.0,0.5,expanded
33,17,LVRT,sym3ph,0.1,medium,5.0,8.2199,0.156989,335822.5,199866.8,0.8593,0.023322,0.1727,2.0,1.696,0.5664,20260609,6.0,0.16,expanded
34,17,LVRT,sym3ph,0.1,medium,5.0,8.2199,0.156989,318947.8,190586.7,0.8584,0.0182,0.1687,2.0,1.6869,0.273,20260609,6.0,0.16,expanded
35,18,LVRT,sym3ph,0.1,medium,5.0,8.2199,0.156989,349493.8,146484.0,0.9223,0.02835,0.4511,2.0,1.9795,0.1305,20260609,6.0,0.5,expanded
36,18,LVRT,sym3ph,0.1,medium,5.0,8.2199,0.156989,331133.3,173595.3,0.8857,0.023222,0.4931,2.0,2.0163,0.4908,20260609,6.0,0.5,expanded
37,19,LVRT,sym3ph,0.1,strong,10.0,13.8675,0.066212,357809.1,195574.0,0.8775,0.026176,0.1774,2.0,1.7035,0.1793,20260609,1.5,0.16,expanded
38,19,LVRT,sym3ph,0.1,strong,10.0,13.8675,0.066212,291455.3,126760.5,0.917,0.015056,0.1725,2.0,1.6876,0.6712,20260609,1.5,0.16,expanded
39,20,LVRT,sym3ph,0.1,strong,10.0,13.8675,0.066212,331116.1,144273.2,0.9168,0.01644,0.5341,2.0,2.0506,0.2305,20260609,1.5,0.5,expanded
40,20,LVRT,sym3ph,0.1,strong,10.0,13.8675,0.066212,286595.7,162270.5,0.8702,0.025083,0.5299,2.0,2.0549,0.4728,20260609,1.5,0.5,expanded
41,21,LVRT,sym3ph,0.1,strong,10.0,7.9057,0.075494,284977.1,145102.0,0.8911,0.024597,0.1488,2.0,1.6734,0.5572,20260609,3.0,0.16,expanded
42,21,LVRT,sym3ph,0.1,strong,10.0,7.9057,0.075494,301137.4,131762.6,0.9161,0.019586,0.1602,2.0,1.6798,0.4479,20260609,3.0,0.16,expanded
43,22,LVRT,sym3ph,0.1,strong,10.0,7.9057,0.075494,301871.1,105281.2,0.9442,0.021223,0.5311,2.0,2.0523,0.4832,20260609,3.0,0.5,expanded
44,22,LVRT,sym3ph,0.1,strong,10.0,7.9057,0.075494,322028.2,189922.7,0.8614,0.028095,0.4804,2.0,2.0085,0.2199,20260609,3.0,0.5,expanded
45,23,LVRT,sym3ph,0.1,strong,10.0,4.11,0.078495,312003.0,152287.7,0.8987,0.016353,0.158,2.0,1.6743,0.2658,20260609,6.0,0.16,expanded
46,23,LVRT,sym3ph,0.1,strong,10.0,4.11,0.078495,289423.4,175060.4,0.8557,0.014073,0.1725,2.0,1.6866,0.6536,20260609,6.0,0.16,expanded
47,24,LVRT,sym3ph,0.1,strong,10.0,4.11,0.078495,352757.8,166832.6,0.904,0.017754,0.5465,2.0,2.0643,0.5988,20260609,6.0,0.5,expanded
48,24,LVRT,sym3ph,0.1,strong,10.0,4.11,0.078495,325699.7,131547.5,0.9272,0.029892,0.463,2.0,1.9929,0.602,20260609,6.0,0.5,expanded
49,25,LVRT,sym3ph,0.1,very_strong,15.0,9.245,0.044142,328880.6,174298.9,0.8836,0.018373,0.1763,2.0,1.6947,0.2558,20260609,1.5,0.16,expanded
50,25,LVRT,sym3ph,0.1,very_strong,15.0,9.245,0.044142,349086.2,173007.4,0.896,0.017555,0.1763,2.0,1.6938,0.2889,20260609,1.5,0.16,expanded
51,26,LVRT,sym3ph,0.1,very_strong,15.0,9.245,0.044142,347101.6,149978.8,0.918,0.02251,0.521,2.0,2.0435,0.4243,20260609,1.5,0.5,expanded
52,26,LVRT,sym3ph,0.1,very_strong,15.0,9.245,0.044142,286352.8,103507.7,0.9404,0.019105,0.4596,2.0,1.9787,0.5295,20260609,1.5,0.5,expanded
53,27,LVRT,sym3ph,0.1,very_strong,15.0,5.2705,0.050329,312346.2,144350.7,0.9077,0.027057,0.1658,2.0,1.6929,0.3763,20260609,3.0,0.16,expanded
54,27,LVRT,sym3ph,0.1,very_strong,15.0,5.2705,0.050329,351500.9,166511.4,0.9037,0.026919,0.1631,2.0,1.69,0.19,20260609,3.0,0.16,expanded
55,28,LVRT,sym3ph,0.1,very_strong,15.0,5.2705,0.050329,299144.1,145347.8,0.8994,0.017648,0.5304,2.0,2.0481,0.768,20260609,3.0,0.5,expanded
56,28,LVRT,sym3ph,0.1,very_strong,15.0,5.2705,0.050329,303325.9,136921.4,0.9114,0.018008,0.5174,2.0,2.0354,0.6846,20260609,3.0,0.5,expanded
57,29,LVRT,sym3ph,0.1,very_strong,15.0,2.74,0.05233,335175.8,177789.9,0.8834,0.023353,0.159,2.0,1.6823,0.6535,20260609,6.0,0.16,expanded
58,29,LVRT,sym3ph,0.1,very_strong,15.0,2.74,0.05233,339244.0,128953.6,0.9347,0.023523,0.1788,2.0,1.7024,0.1771,20260609,6.0,0.16,expanded
59,30,LVRT,sym3ph,0.1,very_strong,15.0,2.74,0.05233,293083.2,117128.5,0.9286,0.022946,0.5026,2.0,2.0255,0.346,20260609,6.0,0.5,expanded
60,30,LVRT,sym3ph,0.1,very_strong,15.0,2.74,0.05233,283646.8,104588.6,0.9382,0.027068,0.4702,2.0,1.9972,0.2392,20260609,6.0,0.5,expanded
61,31,LVRT,sym3ph,0.2,very_weak,2.0,69.3375,0.331062,319410.2,126022.8,0.9302,0.021198,0.1796,2.0,1.7008,0.5093,20260609,1.5,0.16,expanded
62,31,LVRT,sym3ph,0.2,very_weak,2.0,69.3375,0.331062,287652.1,107376.0,0.9369,0.029985,0.1417,2.0,1.6717,0.6566,20260609,1.5,0.16,expanded
63,32,LVRT,sym3ph,0.2,very_weak,2.0,69.3375,0.331062,306151.0,171819.4,0.8721,0.016222,0.5015,2.0,2.0177,0.6021,20260609,1.5,0.5,expanded
64,32,LVRT,sym3ph,0.2,very_weak,2.0,69.3375,0.331062,298896.8,174960.6,0.863,0.013205,0.5401,2.0,2.0533,0.0723,20260609,1.5,0.5,expanded
65,33,LVRT,sym3ph,0.2,very_weak,2.0,39.5285,0.377469,321962.9,158159.2,0.8976,0.024873,0.1443,2.0,1.6692,0.5847,20260609,3.0,0.16,expanded
66,33,LVRT,sym3ph,0.2,very_weak,2.0,39.5285,0.377469,323464.4,130365.7,0.9275,0.018547,0.1736,2.0,1.6922,0.6884,20260609,3.0,0.16,expanded
67,34,LVRT,sym3ph,0.2,very_weak,2.0,39.5285,0.377469,310743.0,179167.7,0.8663,0.01656,0.4865,2.0,2.003,0.4613,20260609,3.0,0.5,expanded
68,34,LVRT,sym3ph,0.2,very_weak,2.0,39.5285,0.377469,344191.9,180339.4,0.8858,0.025754,0.4534,2.0,1.9792,0.6043,20260609,3.0,0.5,expanded
69,35,LVRT,sym3ph,0.2,very_weak,2.0,20.5499,0.392474,349571.1,169367.2,0.8999,0.01791,0.1491,2.0,1.667,0.0509,20260609,6.0,0.16,expanded
70,35,LVRT,sym3ph,0.2,very_weak,2.0,20.5499,0.392474,293001.4,108840.2,0.9374,0.014993,0.1535,2.0,1.6685,0.7176,20260609,6.0,0.16,expanded
71,36,LVRT,sym3ph,0.2,very_weak,2.0,20.5499,0.392474,326024.7,176628.8,0.8793,0.024776,0.5218,2.0,2.0466,0.7679,20260609,6.0,0.5,expanded
72,36,LVRT,sym3ph,0.2,very_weak,2.0,20.5499,0.392474,339328.6,130169.3,0.9337,0.026928,0.4957,2.0,2.0226,0.4909,20260609,6.0,0.5,expanded
73,37,LVRT,sym3ph,0.2,weak,3.0,46.225,0.220708,320293.7,132756.4,0.9238,0.018486,0.1637,2.0,1.6822,0.7594,20260609,1.5,0.16,expanded
74,37,LVRT,sym3ph,0.2,weak,3.0,46.225,0.220708,308564.2,174976.4,0.8699,0.02368,0.1589,2.0,1.6826,0.5929,20260609,1.5,0.16,expanded
75,38,LVRT,sym3ph,0.2,weak,3.0,46.225,0.220708,302761.0,101275.0,0.9483,0.020663,0.488,2.0,2.0087,0.4445,20260609,1.5,0.5,expanded
76,38,LVRT,sym3ph,0.2,weak,3.0,46.225,0.220708,297626.5,149104.3,0.8941,0.019021,0.4918,2.0,2.0108,0.6471,20260609,1.5,0.5,expanded
77,39,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,336043.2,132173.1,0.9306,0.026383,0.1672,2.0,1.6936,0.7639,20260609,3.0,0.16,expanded
78,39,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,281844.1,135428.5,0.9013,0.019472,0.1645,2.0,1.6839,0.7486,20260609,3.0,0.16,expanded
79,40,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,300127.8,174663.9,0.8643,0.012944,0.5414,2.0,2.0544,0.505,20260609,3.0,0.5,expanded
80,40,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,323323.2,115783.9,0.9415,0.019131,0.5195,2.0,2.0386,0.2864,20260609,3.0,0.5,expanded
81,41,LVRT,sym3ph,0.2,weak,3.0,13.6999,0.261649,289491.1,117817.8,0.9262,0.028536,0.1719,2.0,1.7005,0.0948,20260609,6.0,0.16,expanded
82,41,LVRT,sym3ph,0.2,weak,3.0,13.6999,0.261649,324891.9,183847.4,0.8703,0.013508,0.1576,2.0,1.6711,0.2926,20260609,6.0,0.16,expanded
83,42,LVRT,sym3ph,0.2,weak,3.0,13.6999,0.261649,341515.4,157702.0,0.9079,0.018343,0.4851,2.0,2.0034,0.7379,20260609,6.0,0.5,expanded
84,42,LVRT,sym3ph,0.2,weak,3.0,13.6999,0.261649,327881.6,194240.8,0.8604,0.027693,0.516,2.0,2.0437,0.0736,20260609,6.0,0.5,expanded
85,43,LVRT,sym3ph,0.2,medium,5.0,27.735,0.132425,325777.1,190702.2,0.863,0.019817,0.1791,2.0,1.6989,0.4302,20260609,1.5,0.16,expanded
86,43,LVRT,sym3ph,0.2,medium,5.0,27.735,0.132425,333339.2,122005.0,0.9391,0.029289,0.1522,2.0,1.6814,0.5318,20260609,1.5,0.16,expanded
87,44,LVRT,sym3ph,0.2,medium,5.0,27.735,0.132425,340800.3,141584.7,0.9235,0.013287,0.4942,2.0,2.0075,0.2509,20260609,1.5,0.5,expanded
88,44,LVRT,sym3ph,0.2,medium,5.0,27.735,0.132425,349543.0,127383.3,0.9396,0.014037,0.4778,2.0,1.9918,0.4618,20260609,1.5,0.5,expanded
89,45,LVRT,sym3ph,0.2,medium,5.0,15.8114,0.150988,308768.1,132952.2,0.9185,0.022377,0.1579,2.0,1.6803,0.4172,20260609,3.0,0.16,expanded
90,45,LVRT,sym3ph,0.2,medium,5.0,15.8114,0.150988,294055.3,105247.0,0.9415,0.015832,0.1497,2.0,1.6655,0.0738,20260609,3.0,0.16,expanded
91,46,LVRT,sym3ph,0.2,medium,5.0,15.8114,0.150988,287535.0,149907.6,0.8867,0.016226,0.4792,2.0,1.9954,0.0683,20260609,3.0,0.5,expanded
92,46,LVRT,sym3ph,0.2,medium,5.0,15.8114,0.150988,309498.4,160018.8,0.8883,0.013129,0.5089,2.0,2.022,0.356,20260609,3.0,0.5,expanded
93,47,LVRT,sym3ph,0.2,medium,5.0,8.2199,0.156989,284644.8,136937.2,0.9011,0.023955,0.1594,2.0,1.6834,0.0746,20260609,6.0,0.16,expanded
94,47,LVRT,sym3ph,0.2,medium,5.0,8.2199,0.156989,353286.1,189890.7,0.8808,0.026537,0.1517,2.0,1.6782,0.5949,20260609,6.0,0.16,expanded
95,48,LVRT,sym3ph,0.2,medium,5.0,8.2199,0.156989,305420.3,122049.8,0.9286,0.029443,0.4535,2.0,1.983,0.3505,20260609,6.0,0.5,expanded
96,48,LVRT,sym3ph,0.2,medium,5.0,8.2199,0.156989,282692.1,121946.0,0.9182,0.017498,0.451,2.0,1.9685,0.2764,20260609,6.0,0.5,expanded
97,49,LVRT,sym3ph,0.2,strong,10.0,13.8675,0.066212,330787.6,163158.2,0.8968,0.025913,0.1651,2.0,1.691,0.3575,20260609,1.5,0.16,expanded
98,49,LVRT,sym3ph,0.2,strong,10.0,13.8675,0.066212,334301.9,181185.2,0.8792,0.014242,0.1601,2.0,1.6744,0.0619,20260609,1.5,0.16,expanded
99,50,LVRT,sym3ph,0.2,strong,10.0,13.8675,0.066212,310677.3,190673.3,0.8523,0.025799,0.4664,2.0,1.9922,0.1823,20260609,1.5,0.5,expanded
100,50,LVRT,sym3ph,0.2,strong,10.0,13.8675,0.066212,298740.6,170668.6,0.8683,0.020295,0.5345,2.0,2.0548,0.7747,20260609,1.5,0.5,expanded
101,51,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,298903.1,137821.3,0.9081,0.027369,0.1739,2.0,1.7013,0.7504,20260609,3.0,0.16,expanded
102,51,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,281095.2,141865.9,0.8927,0.029554,0.1451,2.0,1.6746,0.7625,20260609,3.0,0.16,expanded
103,52,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,283684.0,155207.5,0.8773,0.028816,0.5442,2.0,2.073,0.778,20260609,3.0,0.5,expanded
104,52,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,311617.5,136581.5,0.9159,0.02415,0.4729,2.0,1.997,0.6006,20260609,3.0,0.5,expanded
105,53,LVRT,sym3ph,0.2,strong,10.0,4.11,0.078495,345631.0,148453.7,0.9188,0.014479,0.1482,2.0,1.6627,0.4885,20260609,6.0,0.16,expanded
106,53,LVRT,sym3ph,0.2,strong,10.0,4.11,0.078495,336791.0,161494.9,0.9017,0.019768,0.1753,2.0,1.695,0.7554,20260609,6.0,0.16,expanded
107,54,LVRT,sym3ph,0.2,strong,10.0,4.11,0.078495,293103.2,147721.0,0.893,0.027512,0.5045,2.0,2.032,0.5721,20260609,6.0,0.5,expanded
108,54,LVRT,sym3ph,0.2,strong,10.0,4.11,0.078495,289163.6,161251.5,0.8734,0.023469,0.4596,2.0,1.9831,0.6515,20260609,6.0,0.5,expanded
109,55,LVRT,sym3ph,0.2,very_strong,15.0,9.245,0.044142,311072.4,102606.3,0.9497,0.027602,0.1596,2.0,1.6872,0.5788,20260609,1.5,0.16,expanded
110,55,LVRT,sym3ph,0.2,very_strong,15.0,9.245,0.044142,325134.7,186557.3,0.8674,0.015702,0.1683,2.0,1.684,0.6243,20260609,1.5,0.16,expanded
111,56,LVRT,sym3ph,0.2,very_strong,15.0,9.245,0.044142,355598.2,164872.3,0.9072,0.024326,0.5031,2.0,2.0275,0.2746,20260609,1.5,0.5,expanded
112,56,LVRT,sym3ph,0.2,very_strong,15.0,9.245,0.044142,296485.5,170691.9,0.8666,0.028096,0.534,2.0,2.0621,0.2034,20260609,1.5,0.5,expanded
113,57,LVRT,sym3ph,0.2,very_strong,15.0,5.2705,0.050329,303604.7,159283.9,0.8855,0.020821,0.156,2.0,1.6768,0.5279,20260609,3.0,0.16,expanded
114,57,LVRT,sym3ph,0.2,very_strong,15.0,5.2705,0.050329,286336.9,121836.5,0.9202,0.015523,0.1661,2.0,1.6817,0.0663,20260609,3.0,0.16,expanded
115,58,LVRT,sym3ph,0.2,very_strong,15.0,5.2705,0.050329,317608.3,120278.4,0.9352,0.016866,0.5467,2.0,2.0636,0.0776,20260609,3.0,0.5,expanded
116,58,LVRT,sym3ph,0.2,very_strong,15.0,5.2705,0.050329,317288.1,186938.3,0.8616,0.015417,0.5039,2.0,2.0194,0.76,20260609,3.0,0.5,expanded
117,59,LVRT,sym3ph,0.2,very_strong,15.0,2.74,0.05233,328994.6,130752.6,0.9293,0.015902,0.1404,2.0,1.6563,0.5392,20260609,6.0,0.16,expanded
118,59,LVRT,sym3ph,0.2,very_strong,15.0,2.74,0.05233,291367.9,162291.8,0.8736,0.029818,0.1459,2.0,1.6757,0.7109,20260609,6.0,0.16,expanded
119,60,LVRT,sym3ph,0.2,very_strong,15.0,2.74,0.05233,359724.6,135103.6,0.9362,0.029674,0.5145,2.0,2.0442,0.3907,20260609,6.0,0.5,expanded
120,60,LVRT,sym3ph,0.2,very_strong,15.0,2.74,0.05233,348588.2,181718.5,0.8867,0.025238,0.5039,2.0,2.0291,0.5071,20260609,6.0,0.5,expanded
121,61,LVRT,sym3ph,0.35,very_weak,2.0,69.3375,0.331062,316459.8,182293.7,0.8665,0.028358,0.1488,2.0,1.6771,0.7604,20260609,1.5,0.16,expanded
122,61,LVRT,sym3ph,0.35,very_weak,2.0,69.3375,0.331062,297873.9,153034.3,0.8895,0.029107,0.1571,2.0,1.6862,0.7929,20260609,1.5,0.16,expanded
123,62,LVRT,sym3ph,0.35,very_weak,2.0,69.3375,0.331062,331875.2,150683.3,0.9105,0.023473,0.4863,2.0,2.0097,0.7039,20260609,1.5,0.5,expanded
124,62,LVRT,sym3ph,0.35,very_weak,2.0,69.3375,0.331062,290238.0,168519.6,0.8648,0.022374,0.538,2.0,2.0604,0.345,20260609,1.5,0.5,expanded
125,63,LVRT,sym3ph,0.35,very_weak,2.0,39.5285,0.377469,336982.2,187069.8,0.8743,0.029639,0.1744,2.0,1.704,0.2516,20260609,3.0,0.16,expanded
126,63,LVRT,sym3ph,0.35,very_weak,2.0,39.5285,0.377469,326540.4,136488.5,0.9226,0.022945,0.1557,2.0,1.6786,0.6983,20260609,3.0,0.16,expanded
127,64,LVRT,sym3ph,0.35,very_weak,2.0,39.5285,0.377469,308514.7,105844.9,0.9459,0.022228,0.4811,2.0,2.0034,0.1573,20260609,3.0,0.5,expanded
128,64,LVRT,sym3ph,0.35,very_weak,2.0,39.5285,0.377469,308050.6,120316.4,0.9315,0.016275,0.4961,2.0,2.0124,0.7917,20260609,3.0,0.5,expanded
129,65,LVRT,sym3ph,0.35,very_weak,2.0,20.5499,0.392474,292392.4,136999.7,0.9055,0.028031,0.1742,2.0,1.7023,0.6439,20260609,6.0,0.16,expanded
130,65,LVRT,sym3ph,0.35,very_weak,2.0,20.5499,0.392474,353880.2,145181.3,0.9252,0.027069,0.1449,2.0,1.6719,0.0555,20260609,6.0,0.16,expanded
131,66,LVRT,sym3ph,0.35,very_weak,2.0,20.5499,0.392474,296468.2,169883.5,0.8676,0.02302,0.5362,2.0,2.0593,0.2566,20260609,6.0,0.5,expanded
132,66,LVRT,sym3ph,0.35,very_weak,2.0,20.5499,0.392474,338287.2,128735.8,0.9346,0.018899,0.4963,2.0,2.0152,0.6804,20260609,6.0,0.5,expanded
133,67,LVRT,sym3ph,0.35,weak,3.0,46.225,0.220708,343686.9,115355.9,0.948,0.021176,0.1683,2.0,1.6895,0.5867,20260609,1.5,0.16,expanded
134,67,LVRT,sym3ph,0.35,weak,3.0,46.225,0.220708,313640.6,182042.5,0.8649,0.020646,0.1467,2.0,1.6673,0.6895,20260609,1.5,0.16,expanded
135,68,LVRT,sym3ph,0.35,weak,3.0,46.225,0.220708,322148.4,151271.5,0.9052,0.019353,0.4731,2.0,1.9924,0.2537,20260609,1.5,0.5,expanded
136,68,LVRT,sym3ph,0.35,weak,3.0,46.225,0.220708,356642.5,149185.1,0.9225,0.026698,0.4841,2.0,2.0108,0.5993,20260609,1.5,0.5,expanded
137,69,LVRT,sym3ph,0.35,weak,3.0,26.3523,0.251646,334895.8,127179.6,0.9349,0.018552,0.1475,2.0,1.666,0.2998,20260609,3.0,0.16,expanded
138,69,LVRT,sym3ph,0.35,weak,3.0,26.3523,0.251646,309077.2,183525.3,0.8598,0.028539,0.1636,2.0,1.6922,0.1467,20260609,3.0,0.16,expanded
139,70,LVRT,sym3ph,0.35,weak,3.0,26.3523,0.251646,281893.1,138737.5,0.8972,0.028265,0.5054,2.0,2.0337,0.4545,20260609,3.0,0.5,expanded
140,70,LVRT,sym3ph,0.35,weak,3.0,26.3523,0.251646,286565.1,135148.2,0.9045,0.01547,0.4657,2.0,1.9812,0.1417,20260609,3.0,0.5,expanded
141,71,LVRT,sym3ph,0.35,weak,3.0,13.6999,0.261649,308461.2,108385.3,0.9435,0.020688,0.1792,2.0,1.6999,0.6838,20260609,6.0,0.16,expanded
142,71,LVRT,sym3ph,0.35,weak,3.0,13.6999,0.261649,296941.4,156781.1,0.8843,0.015139,0.1462,2.0,1.6613,0.4087,20260609,6.0,0.16,expanded
143,72,LVRT,sym3ph,0.35,weak,3.0,13.6999,0.261649,339641.3,137044.6,0.9274,0.028285,0.4765,2.0,2.0048,0.5501,20260609,6.0,0.5,expanded
144,72,LVRT,sym3ph,0.35,weak,3.0,13.6999,0.261649,331366.4,155238.5,0.9056,0.016129,0.482,2.0,1.9981,0.0815,20260609,6.0,0.5,expanded
145,73,LVRT,sym3ph,0.35,medium,5.0,27.735,0.132425,309777.9,187121.7,0.856,0.027706,0.1733,2.0,1.701,0.6501,20260609,1.5,0.16,expanded
146,73,LVRT,sym3ph,0.35,medium,5.0,27.735,0.132425,340258.0,133714.1,0.9307,0.020076,0.1658,2.0,1.6858,0.7472,20260609,1.5,0.16,expanded
147,74,LVRT,sym3ph,0.35,medium,5.0,27.735,0.132425,346869.7,169293.4,0.8987,0.022369,0.4616,2.0,1.984,0.2988,20260609,1.5,0.5,expanded
148,74,LVRT,sym3ph,0.35,medium,5.0,27.735,0.132425,285212.1,112331.8,0.9304,0.028271,0.4585,2.0,1.9868,0.2946,20260609,1.5,0.5,expanded
149,75,LVRT,sym3ph,0.35,medium,5.0,15.8114,0.150988,359718.8,166052.3,0.9079,0.013983,0.1689,2.0,1.6829,0.3986,20260609,3.0,0.16,expanded
150,75,LVRT,sym3ph,0.35,medium,5.0,15.8114,0.150988,298061.0,152175.4,0.8906,0.019545,0.1647,2.0,1.6843,0.1053,20260609,3.0,0.16,expanded
151,76,LVRT,sym3ph,0.35,medium,5.0,15.8114,0.150988,283127.4,130114.4,0.9086,0.019279,0.5199,2.0,2.0391,0.1729,20260609,3.0,0.5,expanded
