scenario_id,family_id,category,fault_type,target_V_pu,grid,scr,Rg_ohm,Lg_H,P_load,Q_load,power_factor,t_fault,fault_dur,recover_to_0p9_s,T_sim,trans_resistance,random_seed
43,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,301871.1,105281.2,0.9442,0.021223,0.535,2.0,2.0562,0.4832,20260609
44,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,322028.2,189922.7,0.8614,0.028095,0.2943,2.0,1.8224,0.2199,20260609
45,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,312003.0,152287.7,0.8987,0.016353,0.3637,2.0,1.88,0.2658,20260609
46,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,289423.4,175060.4,0.8557,0.014073,0.5362,2.0,2.0503,0.6536,20260609
47,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,352757.8,166832.6,0.904,0.017754,0.6085,2.0,2.1263,0.5988,20260609
48,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,325699.7,131547.5,0.9272,0.029892,0.2119,2.0,1.7418,0.602,20260609
49,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,328880.6,174298.9,0.8836,0.018373,0.5815,2.0,2.0999,0.2558,20260609
50,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,349086.2,173007.4,0.896,0.017555,0.5809,2.0,2.0985,0.2889,20260609
51,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,347101.6,149978.8,0.918,0.02251,0.4872,2.0,2.0097,0.4243,20260609
52,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,286352.8,103507.7,0.9404,0.019105,0.1956,2.0,1.7147,0.5295,20260609
53,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,312346.2,144350.7,0.9077,0.027057,0.4567,2.0,1.9837,0.3763,20260609
54,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,351500.9,166511.4,0.9037,0.026919,0.4243,2.0,1.9512,0.19,20260609
55,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,299144.1,145347.8,0.8994,0.017648,0.5321,2.0,2.0497,0.768,20260609
56,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,303325.9,136921.4,0.9114,0.018008,0.4701,2.0,1.9881,0.6846,20260609
57,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,335175.8,177789.9,0.8834,0.023353,0.3752,2.0,1.8985,0.6535,20260609
58,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,339244.0,128953.6,0.9347,0.023523,0.6112,2.0,2.1347,0.1771,20260609
59,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,293083.2,117128.5,0.9286,0.022946,0.3997,2.0,1.9226,0.346,20260609
60,6,LVRT,sym3ph,0.75,weak,3.0,26.3523,0.251646,283646.8,104588.6,0.9382,0.027068,0.2457,2.0,1.7728,0.2392,20260609
61,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,319410.2,126022.8,0.9302,0.021198,0.6205,2.0,2.1417,0.5093,20260609
62,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,287652.1,107376.0,0.9369,0.029985,0.1699,2.0,1.6999,0.6566,20260609
63,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,306151.0,171819.4,0.8721,0.016222,0.3946,2.0,1.9109,0.6021,20260609
64,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,298896.8,174960.6,0.863,0.013205,0.5777,2.0,2.091,0.0723,20260609
65,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,321962.9,158159.2,0.8976,0.024873,0.2016,2.0,1.7265,0.5847,20260609
66,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,323464.4,130365.7,0.9275,0.018547,0.5493,2.0,2.0678,0.6884,20260609
67,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,310743.0,179167.7,0.8663,0.01656,0.3232,2.0,1.8398,0.4613,20260609
68,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,344191.9,180339.4,0.8858,0.025754,0.1663,2.0,1.6921,0.6043,20260609
69,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,349571.1,169367.2,0.8999,0.01791,0.2581,2.0,1.776,0.0509,20260609
70,7,LVRT,1ph_g,0.2,strong,10.0,7.9057,0.075494,293001.4,108840.2,0.9374,0.014993,0.3098,2.0,1.8248,0.7176,20260609
71,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,326024.7,176628.8,0.8793,0.024776,0.491,2.0,2.0158,0.7679,20260609
72,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,339328.6,130169.3,0.9337,0.026928,0.367,2.0,1.8939,0.4909,20260609
73,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,320293.7,132756.4,0.9238,0.018486,0.4316,2.0,1.9501,0.7594,20260609
74,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,308564.2,174976.4,0.8699,0.02368,0.3743,2.0,1.898,0.5929,20260609
75,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,302761.0,101275.0,0.9483,0.020663,0.3305,2.0,1.8511,0.4445,20260609
76,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,297626.5,149104.3,0.8941,0.019021,0.3484,2.0,1.8674,0.6471,20260609
77,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,336043.2,132173.1,0.9306,0.026383,0.4735,2.0,1.9999,0.7639,20260609
78,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,281844.1,135428.5,0.9013,0.019472,0.4406,2.0,1.96,0.7486,20260609
79,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,300127.8,174663.9,0.8643,0.012944,0.5842,2.0,2.0972,0.505,20260609
80,8,LVRT,1ph_g,0.2,weak,3.0,26.3523,0.251646,323323.2,115783.9,0.9415,0.019131,0.4802,2.0,1.9993,0.2864,20260609
81,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,289491.1,117817.8,0.9262,0.028536,0.5291,2.0,2.0577,0.0948,20260609
82,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,324891.9,183847.4,0.8703,0.013508,0.359,2.0,1.8725,0.2926,20260609
83,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,341515.4,157702.0,0.9079,0.018343,0.3166,2.0,1.835,0.7379,20260609
84,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,327881.6,194240.8,0.8604,0.027693,0.4636,2.0,1.9913,0.0736,20260609
85,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,325777.1,190702.2,0.863,0.019817,0.6146,2.0,2.1345,0.4302,20260609
86,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,333339.2,122005.0,0.9391,0.029289,0.2943,2.0,1.8236,0.5318,20260609
87,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,340800.3,141584.7,0.9235,0.013287,0.3598,2.0,1.8731,0.2509,20260609
88,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,349543.0,127383.3,0.9396,0.014037,0.2819,2.0,1.7959,0.4618,20260609
89,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,308768.1,132952.2,0.9185,0.022377,0.3627,2.0,1.8851,0.4172,20260609
90,9,LVRT,1ph_g,0.5,strong,10.0,7.9057,0.075494,294055.3,105247.0,0.9415,0.015832,0.2651,2.0,1.7809,0.0738,20260609
91,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,287535.0,149907.6,0.8867,0.016226,0.2885,2.0,1.8047,0.0683,20260609
92,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,309498.4,160018.8,0.8883,0.013129,0.4297,2.0,1.9429,0.356,20260609
93,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,284644.8,136937.2,0.9011,0.023955,0.3804,2.0,1.9044,0.0746,20260609
94,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,353286.1,189890.7,0.8808,0.026537,0.2887,2.0,1.8152,0.5949,20260609
95,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,305420.3,122049.8,0.9286,0.029443,0.1667,2.0,1.6962,0.3505,20260609
96,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,282692.1,121946.0,0.9182,0.017498,0.1545,2.0,1.672,0.2764,20260609
97,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,330787.6,163158.2,0.8968,0.025913,0.4485,2.0,1.9744,0.3575,20260609
98,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,334301.9,181185.2,0.8792,0.014242,0.3892,2.0,1.9035,0.0619,20260609
99,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,310677.3,190673.3,0.8523,0.025799,0.2279,2.0,1.7537,0.1823,20260609
100,10,LVRT,1ph_g,0.5,weak,3.0,26.3523,0.251646,298740.6,170668.6,0.8683,0.020295,0.5514,2.0,2.0717,0.7747,20260609
101,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,298903.1,137821.3,0.9081,0.027369,0.5525,2.0,2.0798,0.7504,20260609
102,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,281095.2,141865.9,0.8927,0.029554,0.21,2.0,1.7395,0.7625,20260609
103,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,283684.0,155207.5,0.8773,0.028816,0.5974,2.0,2.1262,0.778,20260609
104,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,311617.5,136581.5,0.9159,0.02415,0.2588,2.0,1.7829,0.6006,20260609
105,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,345631.0,148453.7,0.9188,0.014479,0.2478,2.0,1.7622,0.4885,20260609
106,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,336791.0,161494.9,0.9017,0.019768,0.5687,2.0,2.0885,0.7554,20260609
107,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,293103.2,147721.0,0.893,0.027512,0.409,2.0,1.9365,0.5721,20260609
108,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,289163.6,161251.5,0.8734,0.023469,0.1957,2.0,1.7192,0.6515,20260609
109,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,311072.4,102606.3,0.9497,0.027602,0.3831,2.0,1.9107,0.5788,20260609
110,11,LVRT,1ph_g,0.75,strong,10.0,7.9057,0.075494,325134.7,186557.3,0.8674,0.015702,0.4856,2.0,2.0013,0.6243,20260609
111,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,355598.2,164872.3,0.9072,0.024326,0.4024,2.0,1.9267,0.2746,20260609
112,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,296485.5,170691.9,0.8666,0.028096,0.5492,2.0,2.0773,0.2034,20260609
113,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,303604.7,159283.9,0.8855,0.020821,0.3402,2.0,1.8611,0.5279,20260609
114,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,286336.9,121836.5,0.9202,0.015523,0.4604,2.0,1.9759,0.0663,20260609
115,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,317608.3,120278.4,0.9352,0.016866,0.6094,2.0,2.1263,0.0776,20260609
116,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,317288.1,186938.3,0.8616,0.015417,0.4062,2.0,1.9216,0.76,20260609
117,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,328994.6,130752.6,0.9293,0.015902,0.155,2.0,1.6709,0.5392,20260609
118,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,291367.9,162291.8,0.8736,0.029818,0.2198,2.0,1.7496,0.7109,20260609
119,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,359724.6,135103.6,0.9362,0.029674,0.4563,2.0,1.9859,0.3907,20260609
120,12,LVRT,1ph_g,0.75,weak,3.0,26.3523,0.251646,348588.2,181718.5,0.8867,0.025238,0.4058,2.0,1.9311,0.5071,20260609
121,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,316459.8,182293.7,0.8665,0.028358,0.2543,2.0,1.7827,0.7604,20260609
122,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,297873.9,153034.3,0.8895,0.029107,0.3525,2.0,1.8816,0.7929,20260609
123,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,331875.2,150683.3,0.9105,0.023473,0.3222,2.0,1.8457,0.7039,20260609
124,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,290238.0,168519.6,0.8648,0.022374,0.568,2.0,2.0904,0.345,20260609
125,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,336982.2,187069.8,0.8743,0.029639,0.5581,2.0,2.0878,0.2516,20260609
126,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,326540.4,136488.5,0.9226,0.022945,0.3362,2.0,1.8592,0.6983,20260609
127,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,308514.7,105844.9,0.9459,0.022228,0.2979,2.0,1.8201,0.1573,20260609
128,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,308050.6,120316.4,0.9315,0.016275,0.3691,2.0,1.8854,0.7917,20260609
129,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,292392.4,136999.7,0.9055,0.028031,0.5565,2.0,2.0845,0.6439,20260609
130,13,LVRT,2ph,0.2,strong,10.0,7.9057,0.075494,353880.2,145181.3,0.9252,0.027069,0.2078,2.0,1.7349,0.0555,20260609
131,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,296468.2,169883.5,0.8676,0.02302,0.5596,2.0,2.0827,0.2566,20260609
132,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,338287.2,128735.8,0.9346,0.018899,0.37,2.0,1.8889,0.6804,20260609
133,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,343686.9,115355.9,0.948,0.021176,0.4864,2.0,2.0076,0.5867,20260609
134,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,313640.6,182042.5,0.8649,0.020646,0.2291,2.0,1.7497,0.6895,20260609
135,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,322148.4,151271.5,0.9052,0.019353,0.2597,2.0,1.7791,0.2537,20260609
136,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,356642.5,149185.1,0.9225,0.026698,0.312,2.0,1.8387,0.5993,20260609
137,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,334895.8,127179.6,0.9349,0.018552,0.2389,2.0,1.7575,0.2998,20260609
138,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,309077.2,183525.3,0.8598,0.028539,0.4305,2.0,1.9591,0.1467,20260609
139,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,281893.1,138737.5,0.8972,0.028265,0.4131,2.0,1.9413,0.4545,20260609
140,14,LVRT,2ph,0.2,weak,3.0,26.3523,0.251646,286565.1,135148.2,0.9045,0.01547,0.2248,2.0,1.7402,0.1417,20260609
141,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,308461.2,108385.3,0.9435,0.020688,0.6153,2.0,2.136,0.6838,20260609
142,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,296941.4,156781.1,0.8843,0.015139,0.2237,2.0,1.7388,0.4087,20260609
143,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,339641.3,137044.6,0.9274,0.028285,0.2758,2.0,1.8041,0.5501,20260609
144,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,331366.4,155238.5,0.9056,0.016129,0.3021,2.0,1.8182,0.0815,20260609
145,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,309777.9,187121.7,0.856,0.027706,0.5457,2.0,2.0734,0.6501,20260609
146,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,340258.0,133714.1,0.9307,0.020076,0.4561,2.0,1.9761,0.7472,20260609
147,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,346869.7,169293.4,0.8987,0.022369,0.2052,2.0,1.7276,0.2988,20260609
148,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,285212.1,112331.8,0.9304,0.028271,0.1905,2.0,1.7188,0.2946,20260609
149,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,359718.8,166052.3,0.9079,0.013983,0.4936,2.0,2.0075,0.3986,20260609
150,15,LVRT,2ph,0.5,strong,10.0,7.9057,0.075494,298061.0,152175.4,0.8906,0.019545,0.4439,2.0,1.9634,0.1053,20260609
151,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,283127.4,130114.4,0.9086,0.019279,0.4819,2.0,2.0011,0.1729,20260609
152,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,286228.3,174179.4,0.8543,0.017676,0.4458,2.0,1.9635,0.6101,20260609
153,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,346432.2,146665.5,0.9209,0.01968,0.1898,2.0,1.7095,0.3446,20260609
154,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,335868.0,162924.1,0.8997,0.026859,0.2324,2.0,1.7592,0.3093,20260609
155,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,331921.7,187328.7,0.8709,0.019843,0.2493,2.0,1.7691,0.5917,20260609
156,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,343204.3,209098.9,0.854,0.025958,0.3995,2.0,1.9254,0.0512,20260609
157,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,316427.3,127555.4,0.9275,0.018259,0.4453,2.0,1.9636,0.1049,20260609
158,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,312177.1,164527.1,0.8847,0.014838,0.3096,2.0,1.8244,0.0917,20260609
159,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,328603.8,175595.5,0.882,0.029876,0.2061,2.0,1.736,0.452,20260609
160,16,LVRT,2ph,0.5,weak,3.0,26.3523,0.251646,283107.5,115646.8,0.9257,0.019426,0.2143,2.0,1.7337,0.7414,20260609
161,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,316113.9,178028.7,0.8713,0.029373,0.4044,2.0,1.9338,0.485,20260609
162,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,338320.2,151875.4,0.9123,0.023149,0.4955,2.0,2.0186,0.6541,20260609
163,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,343716.7,175782.7,0.8903,0.012046,0.4962,2.0,2.0083,0.4788,20260609
164,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,316110.4,105572.5,0.9485,0.029986,0.1914,2.0,1.7214,0.2224,20260609
165,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,298021.5,158833.4,0.8825,0.015352,0.2143,2.0,1.7296,0.3169,20260609
166,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,336608.1,116933.7,0.9446,0.026929,0.4883,2.0,2.0152,0.1151,20260609
167,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,287365.1,108448.5,0.9356,0.024743,0.3026,2.0,1.8274,0.1908,20260609
168,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,342074.2,166585.2,0.8991,0.017604,0.15,2.0,1.6676,0.7263,20260609
169,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,290521.9,150878.7,0.8875,0.017561,0.5951,2.0,2.1127,0.7887,20260609
170,17,LVRT,2ph,0.75,strong,10.0,7.9057,0.075494,282204.2,172079.8,0.8538,0.028741,0.5522,2.0,2.0809,0.611,20260609
171,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,291919.5,130440.3,0.913,0.027435,0.5778,2.0,2.1052,0.1386,20260609
172,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,324235.6,178135.3,0.8764,0.028142,0.3317,2.0,1.8599,0.0698,20260609
173,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,305016.0,141471.0,0.9072,0.018751,0.2857,2.0,1.8045,0.6322,20260609
174,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,316092.0,148169.7,0.9055,0.023175,0.4206,2.0,1.9438,0.5854,20260609
175,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,322935.8,153463.2,0.9032,0.018767,0.3596,2.0,1.8784,0.6603,20260609
176,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,325528.5,197149.0,0.8554,0.024705,0.4973,2.0,2.022,0.5981,20260609
177,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,300189.6,135921.6,0.911,0.022159,0.1988,2.0,1.721,0.1821,20260609
