scheme,scn_id,fault_bus,fault_type,r_fault,load_lvl,pv_pen,hpt_bus,survive,iq,reactive,Vn,limit,kvar,gate,recover,frt_pass,v_load,vdc_min,vdc_max,se_d,connect,Vp,se_q,iq_ref
B4,3,6,sym3ph,30.0,0.7,0.0,14,True,0.242,False,0.0,True,96.7895,sym,True,False,0.8809,0.861,1.0,0.0122,True,0.8752,-0.1875,0.0373
B4,3,6,sym3ph,30.0,0.7,0.0,25,True,0.0127,True,0.0,True,5.081,normal,True,True,0.9608,0.9425,1.0,0.0263,True,0.9608,-0.0131,0.0
B4,3,6,sym3ph,30.0,0.7,0.0,30,True,0.238,False,0.0,True,95.2037,sym,True,False,0.8888,0.8563,1.0,0.0154,True,0.8816,-0.1856,0.0276
B4,4,9,sym3ph,3.0,0.7,0.3,7,True,0.27,True,0.0,True,108.0,sym,True,True,0.6593,0.8674,1.0,-0.0171,True,0.6593,-0.1998,0.3
B4,4,9,sym3ph,3.0,0.7,0.3,14,True,0.27,True,0.0,True,108.0,sym,True,True,0.3458,0.803,1.0,0.0174,True,0.3376,-0.1999,0.3
B4,4,9,sym3ph,3.0,0.7,0.3,25,True,0.0131,True,0.0,True,5.2593,normal,True,True,0.9106,0.9308,1.0,0.0294,True,0.9106,-0.0245,0.0
B4,4,9,sym3ph,3.0,0.7,0.3,30,True,0.27,True,0.0,True,108.0,sym,True,True,0.682,0.8685,1.0,-0.0225,True,0.682,-0.1997,0.3
B4,5,30,sym3ph,0.3,0.7,0.3,7,True,0.27,True,0.0,True,108.0,sym,True,True,0.5877,0.8633,1.0,-0.0069,True,0.5877,-0.1999,0.3
B4,5,30,sym3ph,0.3,0.7,0.3,14,True,0.27,True,0.0,True,108.0,sym,True,True,0.5706,0.8622,1.0,-0.0076,True,0.5706,-0.1999,0.3
B4,5,30,sym3ph,0.3,0.7,0.3,25,True,0.2367,False,0.0,True,94.6959,sym,True,False,0.8914,0.8546,1.0,0.0165,True,0.8836,-0.1851,0.0246
B4,5,30,sym3ph,0.3,0.7,0.3,30,True,0.27,True,0.0,True,108.0,sym,True,False,0.0702,0.7506,1.0,0.0408,False,0.051,-0.1999,0.3
B4,6,25,sym3ph,0.3,1.0,0.6,7,True,0.27,True,0.0,True,108.0,sym,True,True,0.7846,0.8732,1.0,-0.0297,True,0.7846,-0.1986,0.1731
B4,6,25,sym3ph,0.3,1.0,0.6,14,True,0.27,True,0.0,True,108.0,sym,True,True,0.7575,0.872,1.0,-0.0325,True,0.7575,-0.1991,0.2138
B4,6,25,sym3ph,0.3,1.0,0.6,25,True,0.27,True,0.0,True,108.0,sym,True,False,0.0976,0.7562,1.0,0.0378,False,0.0798,-0.1999,0.3
B4,6,25,sym3ph,0.3,1.0,0.6,30,True,0.27,True,0.0,True,108.0,sym,True,True,0.7626,0.8722,1.0,-0.032,True,0.7626,-0.199,0.206
B4,7,6,sym3ph,10.0,1.0,0.6,7,True,0.27,True,0.0,True,108.0,sym,True,True,0.7807,0.873,1.0,-0.0302,True,0.7807,-0.1987,0.1789
B4,7,6,sym3ph,10.0,1.0,0.6,14,True,0.27,True,0.0,True,108.0,sym,True,True,0.7535,0.8718,1.0,-0.033,True,0.7535,-0.1991,0.2198
B4,7,6,sym3ph,10.0,1.0,0.6,25,True,0.0129,True,0.0,True,5.1694,normal,True,True,0.9248,0.9325,1.0,0.029,True,0.9248,-0.0225,0.0
B4,7,6,sym3ph,10.0,1.0,0.6,30,True,0.27,True,0.0,True,108.0,sym,True,True,0.7587,0.872,1.0,-0.0324,True,0.7587,-0.1991,0.212
B4,8,3,sym3ph,30.0,1.0,0.6,7,True,0.0128,True,0.0,True,5.1013,normal,True,True,0.939,0.9358,1.0,0.0281,True,0.939,-0.0194,0.0
B4,8,3,sym3ph,30.0,1.0,0.6,14,True,0.0131,True,0.0,True,5.2341,normal,True,True,0.9132,0.931,1.0,0.0293,True,0.9132,-0.0243,0.0
B4,8,3,sym3ph,30.0,1.0,0.6,25,True,0.0126,True,0.0,True,5.0211,normal,True,True,0.9551,0.9406,1.0,0.0268,True,0.9551,-0.0149,0.0
B4,8,3,sym3ph,30.0,1.0,0.6,30,True,0.0129,True,0.0,True,5.1769,normal,True,True,0.9202,0.9317,1.0,0.0292,True,0.9202,-0.0233,0.0
B4,9,3,sym3ph,10.0,0.7,0.6,7,True,0.013,True,0.0,True,5.1891,normal,True,True,0.9186,0.9315,1.0,0.0292,True,0.9186,-0.0235,0.0
B4,9,3,sym3ph,10.0,0.7,0.6,14,True,0.0134,True,0.0,True,5.3711,normal,True,True,0.9036,0.931,1.0,0.0292,True,0.9036,-0.0245,0.0
B4,9,3,sym3ph,10.0,0.7,0.6,25,True,0.0129,True,0.0,True,5.1544,normal,True,True,0.9278,0.9331,1.0,0.0288,True,0.9278,-0.0219,0.0
B4,9,3,sym3ph,10.0,0.7,0.6,30,True,0.0133,True,0.0,True,5.3137,normal,True,True,0.9069,0.9308,1.0,0.0293,True,0.9069,-0.0246,0.0
B4,10,18,sym3ph,0.3,1.0,0.6,7,True,0.27,True,0.0,True,108.0,sym,True,True,0.783,0.8731,1.0,-0.0299,True,0.783,-0.1987,0.1755
B4,10,18,sym3ph,0.3,1.0,0.6,14,True,0.27,True,0.0,True,108.0,sym,True,True,0.3191,0.793,1.0,0.0197,True,0.3098,-0.1999,0.3
B4,10,18,sym3ph,0.3,1.0,0.6,25,True,0.0128,True,0.0,True,5.1122,normal,True,True,0.9371,0.9352,1.0,0.0283,True,0.9371,-0.0199,0.0
B4,10,18,sym3ph,0.3,1.0,0.6,30,True,0.27,True,0.0,True,108.0,sym,True,True,0.7928,0.8736,1.0,-0.0276,True,0.7928,-0.1983,0.1608
B4,11,9,sym3ph,0.3,1.0,0.3,7,True,0.27,True,0.0,True,108.0,sym,True,True,0.5255,0.859,1.0,-0.0091,True,0.5255,-0.1999,0.3
B4,11,9,sym3ph,0.3,1.0,0.3,14,True,0.27,True,0.0,True,108.0,sym,True,False,0.1076,0.7584,1.0,0.0367,False,0.0904,-0.1999,0.3
B4,11,9,sym3ph,0.3,1.0,0.3,25,True,0.2384,False,0.0,True,95.3673,sym,True,False,0.888,0.8568,1.0,0.0151,True,0.8809,-0.1858,0.0286
B4,11,9,sym3ph,0.3,1.0,0.3,30,True,0.27,True,0.0,True,108.0,sym,True,True,0.5725,0.8624,1.0,-0.0075,True,0.5725,-0.1999,0.3
B4,12,30,1ph_g,30.0,1.0,0.6,7,True,0.0127,True,0.0232,True,5.0756,normal,True,True,0.9379,0.9367,1.0,0.028,True,0.9379,-0.0181,0.0
B4,12,30,1ph_g,30.0,1.0,0.6,14,True,0.0133,True,0.0236,True,5.3212,normal,True,True,0.912,0.9317,1.0,0.0291,True,0.912,-0.0238,0.0
B4,12,30,1ph_g,30.0,1.0,0.6,25,True,0.0136,True,0.006,True,5.4434,normal,True,True,0.9689,0.9462,1.0,0.0252,True,0.9689,-0.0096,0.0
B4,12,30,1ph_g,30.0,1.0,0.6,30,True,0.0418,True,0.0547,True,16.7272,asym,True,True,0.8921,0.9938,1.0,-0.064,True,0.8921,-0.0049,0.0118
B4,13,9,1ph_g,3.0,1.0,0.3,7,True,0.0893,True,0.1071,True,35.7013,asym,True,True,0.8511,0.9746,1.0,-0.0705,True,0.8511,-0.0341,0.0734
B4,13,9,1ph_g,3.0,1.0,0.3,14,True,0.2353,True,0.2158,True,94.1176,asym,True,True,0.718,0.9429,1.0,-0.0554,True,0.718,-0.0619,0.2729
B4,13,9,1ph_g,3.0,1.0,0.3,25,True,0.0125,True,0.0235,True,5.0165,normal,True,True,0.9489,0.9401,1.0,0.0271,True,0.9489,-0.015,0.0
B4,13,9,1ph_g,3.0,1.0,0.3,30,True,0.0955,True,0.0927,True,38.1839,asym,True,True,0.841,0.973,1.0,-0.0704,True,0.841,-0.0359,0.0886
B4,14,14,1ph_g,30.0,0.7,0.6,7,True,0.0125,True,0.0254,True,5.0002,normal,True,True,0.9533,0.9417,1.0,0.0266,True,0.9533,-0.0135,0.0
B4,14,14,1ph_g,30.0,0.7,0.6,14,True,0.0543,True,0.0904,True,21.7348,asym,True,True,0.8821,0.9881,1.0,-0.0675,True,0.8821,-0.0139,0.0269
B4,14,14,1ph_g,30.0,0.7,0.6,25,True,0.0148,True,0.0055,True,5.9326,normal,True,True,0.9786,0.9502,1.0,0.024,True,0.9786,-0.0059,0.0
B4,14,14,1ph_g,30.0,0.7,0.6,30,True,0.0126,True,0.0212,True,5.0392,normal,True,True,0.9444,0.9385,1.0,0.0275,True,0.9444,-0.0164,0.0
B4,15,22,1ph_g,1.0,1.0,0.3,7,True,0.0126,True,0.0074,True,5.0518,normal,True,True,0.9453,0.938,1.0,0.0275,True,0.9453,-0.0172,0.0
B4,15,22,1ph_g,1.0,1.0,0.3,14,True,0.0131,True,0.0076,True,5.2471,normal,True,True,0.9142,0.9313,1.0,0.0292,True,0.9142,-0.024,0.0
B4,15,22,1ph_g,1.0,1.0,0.3,25,True,0.013,True,0.0072,True,5.1981,normal,True,True,0.9649,0.9443,1.0,0.0258,True,0.9649,-0.0113,0.0
B4,15,22,1ph_g,1.0,1.0,0.3,30,True,0.0129,True,0.0076,True,5.1769,normal,True,True,0.9238,0.9326,1.0,0.029,True,0.9238,-0.0223,0.0
B4,16,14,1ph_g,10.0,0.7,0.0,7,True,0.0134,True,0.0492,True,5.3461,normal,True,True,0.9179,0.9329,1.0,0.0288,True,0.9179,-0.0224,0.0
B4,16,14,1ph_g,10.0,0.7,0.0,14,True,0.1901,True,0.1732,True,76.0329,asym,True,True,0.7789,0.9508,1.0,-0.0621,True,0.7789,-0.0593,0.1816
B4,16,14,1ph_g,10.0,0.7,0.0,25,True,0.0134,True,0.0107,True,5.3619,normal,True,True,0.9684,0.9461,1.0,0.0253,True,0.9684,-0.0095,0.0
B4,16,14,1ph_g,10.0,0.7,0.0,30,True,0.0136,True,0.0419,True,5.4219,normal,True,True,0.9064,0.9318,1.0,0.029,True,0.9064,-0.0238,0.0
B4,17,22,1ph_g,0.3,1.0,0.6,7,True,0.0126,True,0.0082,True,5.0277,normal,True,True,0.9508,0.9398,1.0,0.027,True,0.9508,-0.0155,0.0
B4,17,22,1ph_g,0.3,1.0,0.6,14,True,0.0129,True,0.0084,True,5.1635,normal,True,True,0.9254,0.9329,1.0,0.0289,True,0.9254,-0.0219,0.0
B4,17,22,1ph_g,0.3,1.0,0.6,25,True,0.0132,True,0.0081,True,5.2938,normal,True,True,0.9667,0.9452,1.0,0.0255,True,0.9667,-0.0104,0.0
B4,17,22,1ph_g,0.3,1.0,0.6,30,True,0.0128,True,0.0084,True,5.1198,normal,True,True,0.9323,0.9344,1.0,0.0286,True,0.9323,-0.0205,0.0
B4,19,3,1ph_g,3.0,0.7,0.3,7,True,0.0136,True,0.0617,True,5.4243,normal,True,True,0.9121,0.9326,1.0,0.0288,True,0.9121,-0.0229,0.0
B4,19,3,1ph_g,3.0,0.7,0.3,14,True,0.0431,True,0.0629,True,17.2597,asym,True,True,0.8917,0.9931,1.0,-0.0647,True,0.8917,-0.0061,0.0124
B4,19,3,1ph_g,3.0,0.7,0.3,25,True,0.0133,True,0.0611,True,5.3089,normal,True,True,0.9249,0.9343,1.0,0.0285,True,0.9249,-0.0209,0.0
B4,19,3,1ph_g,3.0,0.7,0.3,30,True,0.0408,True,0.0621,True,16.3176,asym,True,True,0.8976,0.9938,1.0,-0.0643,True,0.8976,-0.0051,0.0036
B4,20,6,1ph_g,1.0,0.7,0.6,7,True,0.2263,True,0.2377,True,90.5043,asym,True,True,0.7451,0.9443,1.0,-0.057,True,0.7451,-0.0628,0.2323
B4,20,6,1ph_g,1.0,0.7,0.6,14,True,0.2226,True,0.2239,True,89.0436,asym,True,True,0.7479,0.945,1.0,-0.0572,True,0.7479,-0.0623,0.2281
B4,20,6,1ph_g,1.0,0.7,0.6,25,True,0.0134,True,0.0623,True,5.3406,normal,True,True,0.9223,0.9339,1.0,0.0286,True,0.9223,-0.0214,0.0
B4,20,6,1ph_g,1.0,0.7,0.6,30,True,0.2263,True,0.23,True,90.5028,asym,True,True,0.7426,0.9444,1.0,-0.0568,True,0.7426,-0.0625,0.2361
B4,21,3,1ph_g,30.0,1.0,0.3,7,True,0.0126,True,0.0073,True,5.0482,normal,True,True,0.9459,0.9382,1.0,0.0275,True,0.9459,-0.0171,0.0
B4,21,3,1ph_g,30.0,1.0,0.3,14,True,0.0131,True,0.0075,True,5.2413,normal,True,True,0.9149,0.9314,1.0,0.0292,True,0.9149,-0.0239,0.0
B4,21,3,1ph_g,30.0,1.0,0.3,25,True,0.0131,True,0.0072,True,5.2294,normal,True,True,0.9655,0.9446,1.0,0.0257,True,0.9655,-0.011,0.0
B4,21,3,1ph_g,30.0,1.0,0.3,30,True,0.0129,True,0.0073,True,5.1691,normal,True,True,0.9245,0.9327,1.0,0.029,True,0.9245,-0.0222,0.0
B4,22,9,1ph_g,30.0,1.0,0.3,7,True,0.0129,True,0.028,True,5.1783,normal,True,True,0.9289,0.9342,1.0,0.0286,True,0.9289,-0.0206,0.0
B4,22,9,1ph_g,30.0,1.0,0.3,14,True,0.0546,True,0.0588,True,21.8375,asym,True,True,0.8713,0.9891,1.0,-0.0657,True,0.8713,-0.0119,0.043
B4,22,9,1ph_g,30.0,1.0,0.3,25,True,0.0132,True,0.0061,True,5.2823,normal,True,True,0.9662,0.9448,1.0,0.0256,True,0.9662,-0.0108,0.0
B4,22,9,1ph_g,30.0,1.0,0.3,30,True,0.0134,True,0.0237,True,5.3489,normal,True,True,0.9094,0.9316,1.0,0.0291,True,0.9094,-0.024,0.0
B4,23,33,1ph_g,3.0,1.0,0.3,7,True,0.0499,True,0.0719,True,19.9769,asym,True,True,0.8823,0.9905,1.0,-0.0659,True,0.8823,-0.01,0.0265
B4,23,33,1ph_g,3.0,1.0,0.3,14,True,0.0799,True,0.0751,True,31.9655,asym,True,True,0.8493,0.9788,1.0,-0.0681,True,0.8493,-0.0273,0.0761
B4,23,33,1ph_g,3.0,1.0,0.3,25,True,0.0125,True,0.0187,True,5.0069,normal,True,True,0.9535,0.9413,1.0,0.0267,True,0.9535,-0.0139,0.0
B4,23,33,1ph_g,3.0,1.0,0.3,30,True,0.1998,True,0.1682,True,79.9337,asym,True,True,0.7669,0.9495,1.0,-0.0605,True,0.7669,-0.0593,0.1997
B4,24,6,2ph,1.0,0.7,0.0,7,True,0.24,True,0.4103,True,96.0,asym,True,True,0.5574,0.9325,1.0,-0.051,True,0.5574,-0.066,0.3
B4,24,6,2ph,1.0,0.7,0.0,14,True,0.24,True,0.4004,True,96.0,asym,True,True,0.5452,0.932,1.0,-0.0506,True,0.5452,-0.0655,0.3
B4,24,6,2ph,1.0,0.7,0.0,25,True,0.0672,True,0.1053,True,26.8606,asym,True,True,0.8722,0.9832,1.0,-0.0691,True,0.8722,-0.0213,0.0418
B4,24,6,2ph,1.0,0.7,0.0,30,True,0.24,True,0.4017,True,96.0,asym,True,True,0.5483,0.9322,1.0,-0.0507,True,0.5483,-0.0656,0.3
B4,25,14,2ph,0.3,1.0,0.3,7,True,0.1317,True,0.1277,True,52.6834,asym,True,True,0.8248,0.9653,1.0,-0.0709,True,0.8248,-0.0439,0.1128
B4,25,14,2ph,0.3,1.0,0.3,14,True,0.24,True,0.4604,True,96.0,asym,True,True,0.4707,0.9273,1.0,-0.0489,True,0.4707,-0.0638,0.3
B4,25,14,2ph,0.3,1.0,0.3,25,True,0.0126,True,0.0272,True,5.0342,normal,True,True,0.9445,0.9389,1.0,0.0274,True,0.9445,-0.0159,0.0
B4,25,14,2ph,0.3,1.0,0.3,30,True,0.1262,True,0.1058,True,50.4729,asym,True,True,0.8223,0.9666,1.0,-0.0704,True,0.8223,-0.0422,0.1165
B4,26,14,2ph,3.0,1.0,0.0,7,True,0.1175,True,0.1132,True,46.9986,asym,True,True,0.8312,0.9683,1.0,-0.0711,True,0.8312,-0.0408,0.1032
B4,26,14,2ph,3.0,1.0,0.0,14,True,0.24,True,0.4078,True,96.0,asym,True,True,0.5057,0.9299,1.0,-0.0495,True,0.5057,-0.0643,0.3
B4,26,14,2ph,3.0,1.0,0.0,25,True,0.0126,True,0.0242,True,5.0383,normal,True,True,0.9441,0.9386,1.0,0.0275,True,0.9441,-0.0163,0.0
B4,26,14,2ph,3.0,1.0,0.0,30,True,0.1207,True,0.0939,True,48.2609,asym,True,True,0.8224,0.9679,1.0,-0.07,True,0.8224,-0.0408,0.1165
B4,27,30,2ph,30.0,0.7,0.3,7,True,0.0135,True,0.0603,True,5.4154,normal,True,True,0.9127,0.9326,1.0,0.0288,True,0.9127,-0.0229,0.0
B4,27,30,2ph,30.0,0.7,0.3,14,True,0.0424,True,0.0603,True,16.9727,asym,True,True,0.8925,0.9934,1.0,-0.0644,True,0.8925,-0.0056,0.0113
B4,27,30,2ph,30.0,0.7,0.3,25,True,0.0129,True,0.0155,True,5.1695,normal,True,True,0.9662,0.9452,1.0,0.0256,True,0.9662,-0.0103,0.0
B4,27,30,2ph,30.0,0.7,0.3,30,True,0.1372,True,0.1442,True,54.8998,asym,True,True,0.8249,0.9634,1.0,-0.0705,True,0.8249,-0.0465,0.1127
B4,28,14,2ph,0.3,0.7,0.0,7,True,0.1225,True,0.1294,True,49.0187,asym,True,True,0.8329,0.9671,1.0,-0.0716,True,0.8329,-0.0423,0.1006
B4,28,14,2ph,0.3,0.7,0.0,14,True,0.24,True,0.4659,True,96.0,asym,True,True,0.4764,0.9276,1.0,-0.0493,True,0.4764,-0.0642,0.3
B4,28,14,2ph,0.3,0.7,0.0,25,True,0.0125,True,0.0276,True,5.0044,normal,True,True,0.951,0.941,1.0,0.0268,True,0.951,-0.014,0.0
B4,28,14,2ph,0.3,0.7,0.0,30,True,0.1078,True,0.1073,True,43.1209,asym,True,True,0.8363,0.9703,1.0,-0.0713,True,0.8363,-0.0388,0.0955
B4,29,25,2ph,1.0,1.0,0.3,7,True,0.0642,True,0.0815,True,25.6746,asym,True,True,0.8672,0.9848,1.0,-0.0674,True,0.8672,-0.0185,0.0491
B4,29,25,2ph,1.0,1.0,0.3,14,True,0.0989,True,0.0815,True,39.5522,asym,True,True,0.8344,0.9723,1.0,-0.0701,True,0.8344,-0.0364,0.0984
B4,29,25,2ph,1.0,1.0,0.3,25,True,0.24,True,0.4317,True,96.0,asym,True,True,0.5398,0.9315,1.0,-0.0507,True,0.5398,-0.0659,0.3
B4,29,25,2ph,1.0,1.0,0.3,30,True,0.0877,True,0.0815,True,35.0929,asym,True,True,0.844,0.9757,1.0,-0.0691,True,0.844,-0.032,0.084
B4,30,3,2ph,3.0,1.0,0.0,7,True,0.1669,True,0.1532,True,66.7575,asym,True,True,0.7951,0.9548,1.0,-0.0652,True,0.7951,-0.0567,0.1574
B4,30,3,2ph,3.0,1.0,0.0,14,True,0.2059,True,0.1534,True,82.3643,asym,True,True,0.7537,0.9486,1.0,-0.0587,True,0.7537,-0.0591,0.2194
B4,30,3,2ph,3.0,1.0,0.0,25,True,0.1441,True,0.1529,True,57.6262,asym,True,True,0.8218,0.9616,1.0,-0.07,True,0.8218,-0.0487,0.1174
B4,30,3,2ph,3.0,1.0,0.0,30,True,0.1965,True,0.1539,True,78.6066,asym,True,True,0.7663,0.9502,1.0,-0.0609,True,0.7663,-0.0587,0.2005
B4,31,30,2ph,0.3,1.0,0.3,7,True,0.2089,True,0.1908,True,83.5619,asym,True,True,0.7614,0.9477,1.0,-0.059,True,0.7614,-0.0606,0.208
B4,31,30,2ph,0.3,1.0,0.3,14,True,0.2279,True,0.1891,True,91.1569,asym,True,True,0.726,0.9444,1.0,-0.0555,True,0.726,-0.061,0.2609
B4,31,30,2ph,0.3,1.0,0.3,25,True,0.0133,True,0.049,True,5.3041,normal,True,True,0.9222,0.9335,1.0,0.0287,True,0.9222,-0.0217,0.0
B4,31,30,2ph,0.3,1.0,0.3,30,True,0.24,True,0.4592,True,96.0,asym,True,True,0.4783,0.9278,1.0,-0.0493,True,0.4783,-0.0642,0.3
B4,32,22,2ph,1.0,1.0,0.6,7,True,0.0126,True,0.0115,True,5.0379,normal,True,True,0.9471,0.9388,1.0,0.0273,True,0.9471,-0.0164,0.0
B4,32,22,2ph,1.0,1.0,0.6,14,True,0.013,True,0.0115,True,5.21,normal,True,True,0.9215,0.9323,1.0,0.029,True,0.9215,-0.0227,0.0
B4,32,22,2ph,1.0,1.0,0.6,25,True,0.0127,True,0.0115,True,5.0655,normal,True,True,0.9631,0.9437,1.0,0.026,True,0.9631,-0.0117,0.0
B4,32,22,2ph,1.0,1.0,0.6,30,True,0.0128,True,0.0115,True,5.1376,normal,True,True,0.9285,0.9337,1.0,0.0288,True,0.9285,-0.0211,0.0
B4,33,30,2ph,3.0,0.7,0.3,7,True,0.1633,True,0.1633,True,65.3352,asym,True,True,0.8051,0.9557,1.0,-0.0677,True,0.8051,-0.0561,0.1424
B4,33,30,2ph,3.0,0.7,0.3,14,True,0.1797,True,0.1626,True,71.8783,asym,True,True,0.7842,0.9524,1.0,-0.0625,True,0.7842,-0.0585,0.1737
B4,33,30,2ph,3.0,0.7,0.3,25,True,0.0128,True,0.042,True,5.1243,normal,True,True,0.9384,0.9375,1.0,0.0277,True,0.9384,-0.0174,0.0
B4,33,30,2ph,3.0,0.7,0.3,30,True,0.24,True,0.3921,True,96.0,asym,True,True,0.5673,0.9332,1.0,-0.051,True,0.5673,-0.0658,0.3
B4,34,14,2ph,3.0,1.0,0.6,7,True,0.1042,True,0.1177,True,41.6623,asym,True,True,0.8425,0.9708,1.0,-0.0719,True,0.8425,-0.0385,0.0863
B4,34,14,2ph,3.0,1.0,0.6,14,True,0.24,True,0.4232,True,96.0,asym,True,True,0.5222,0.9306,1.0,-0.0502,True,0.5222,-0.0652,0.3
B4,34,14,2ph,3.0,1.0,0.6,25,True,0.0125,True,0.0251,True,5.0139,normal,True,True,0.9491,0.9402,1.0,0.027,True,0.9491,-0.0148,0.0
B4,34,14,2ph,3.0,1.0,0.6,30,True,0.098,True,0.0975,True,39.2091,asym,True,True,0.8405,0.9723,1.0,-0.0708,True,0.8405,-0.0367,0.0893
B4,35,14,2ph,30.0,1.0,0.3,7,True,0.0397,True,0.0567,True,15.8847,asym,True,True,0.8992,0.9944,1.0,-0.0638,True,0.8992,-0.0042,0.0012
B4,35,14,2ph,30.0,1.0,0.3,14,True,0.2268,True,0.2028,True,90.7014,asym,True,True,0.7328,0.9445,1.0,-0.056,True,0.7328,-0.0615,0.2508
B4,35,14,2ph,30.0,1.0,0.3,25,True,0.0125,True,0.0121,True,4.9922,normal,True,True,0.9594,0.9426,1.0,0.0263,True,0.9594,-0.0127,0.0
B4,35,14,2ph,30.0,1.0,0.3,30,True,0.2336,False,0.0472,True,93.4273,sym,True,False,0.8936,0.8494,1.0,0.0196,True,0.8844,-0.1844,0.0234
B4,36,3,2ph_g,3.0,1.0,0.0,7,True,0.096,True,0.063,True,38.4126,asym,True,True,0.8306,0.9733,1.0,-0.0689,True,0.8306,-0.035,0.1041
B4,36,3,2ph_g,3.0,1.0,0.0,14,True,0.1479,True,0.0659,True,59.1512,asym,True,True,0.7901,0.9617,1.0,-0.0672,True,0.7901,-0.0467,0.1649
B4,36,3,2ph_g,3.0,1.0,0.0,25,True,0.0682,True,0.0614,True,27.2936,asym,True,True,0.8565,0.9841,1.0,-0.0666,True,0.8565,-0.0192,0.0652
B4,36,3,2ph_g,3.0,1.0,0.0,30,True,0.1327,True,0.0641,True,53.079,asym,True,True,0.8031,0.9658,1.0,-0.0686,True,0.8031,-0.0419,0.1454
B4,37,18,2ph_g,0.3,0.7,0.3,7,True,0.0754,True,0.0611,True,30.1779,asym,True,True,0.8489,0.9809,1.0,-0.067,True,0.8489,-0.0239,0.0767
B4,37,18,2ph_g,0.3,0.7,0.3,14,True,0.24,True,0.2158,True,96.0,asym,True,True,0.5235,0.9339,1.0,-0.0483,True,0.5235,-0.0589,0.3
B4,37,18,2ph_g,0.3,0.7,0.3,25,True,0.0125,True,0.0132,True,5.0034,normal,True,True,0.9559,0.9417,1.0,0.0266,True,0.9559,-0.0136,0.0
B4,37,18,2ph_g,0.3,0.7,0.3,30,True,0.0675,True,0.052,True,27.0052,asym,True,True,0.8543,0.9846,1.0,-0.0661,True,0.8543,-0.0181,0.0686
B4,38,3,2ph_g,1.0,0.7,0.6,7,True,0.2224,True,0.1358,True,88.9465,asym,True,True,0.7201,0.9457,1.0,-0.0547,True,0.7201,-0.0592,0.2698
B4,38,3,2ph_g,1.0,0.7,0.6,14,True,0.2286,True,0.1361,True,91.4541,asym,True,True,0.7076,0.9446,1.0,-0.054,True,0.7076,-0.0592,0.2886
B4,38,3,2ph_g,1.0,0.7,0.6,25,True,0.219,True,0.1366,True,87.6035,asym,True,True,0.7267,0.9463,1.0,-0.0552,True,0.7267,-0.0592,0.26
B4,38,3,2ph_g,1.0,0.7,0.6,30,True,0.2282,True,0.1354,True,91.2809,asym,True,True,0.7083,0.9446,1.0,-0.054,True,0.7083,-0.0592,0.2875
B4,39,14,2ph_g,1.0,1.0,0.3,7,True,0.1493,True,0.0813,True,59.7286,asym,True,True,0.7935,0.961,1.0,-0.0672,True,0.7935,-0.0479,0.1598
