scheme,scn_id,fault_bus,fault_type,r_fault,load_lvl,pv_pen,hpt_bus,failure,survive,iq,reactive,Vn,limit,gate,recover,frt_pass,vdc_min,se_d,connect,Vp,iq_ref,wrong_sign
B4,6,25,sym3ph,0.3,1.0,0.6,25,CONNECT,True,0.27,True,5.19111224436386e-12,True,sym,True,False,0.756230038537998,0.037830159068107605,False,0.079800939967174,0.3,
B4,11,9,sym3ph,0.3,1.0,0.3,14,CONNECT,True,0.27,True,5.8797596304192885e-12,True,sym,True,False,0.7584164792507517,0.03667934238910675,False,0.09038736511253316,0.3,
B4,11,9,sym3ph,0.3,1.0,0.3,25,REACTIVE,True,0.2384183406829834,False,5.730391809368069e-11,True,sym,True,False,0.8568082722070972,0.015095755457878113,True,0.880910508379237,0.028634237431144516,
B4,18,3,1ph_g,1.0,1.0,0.0,,NONCONVERGED,,,,,,,,,,,,,,
B4,35,14,2ph,30.0,1.0,0.3,30,REACTIVE,True,0.2335681915283203,False,0.04724651411401911,True,sym,True,False,0.8493749472258884,0.019629865884780884,True,0.8843924376115622,0.023411343582656785,
B4,47,30,2ph_g,30.0,1.0,0.3,14,REACTIVE,True,0.23598212003707886,False,0.023896522125424608,True,sym,True,False,0.8530198046718847,0.017400532960891724,True,0.882670456193525,0.0259943157097125,
C10,1,22,sym3ph,0.3,1.0,0.3,17,REACTIVE,True,0.22768718004226685,False,5.849921881526173e-11,True,sym,True,False,0.8432821431428846,0.024176999926567078,True,0.8992868296310031,0.0010697555534953107,
C10,2,6,sym3ph,30.0,1.0,0.0,7,REACTIVE,True,0.23509901762008667,False,5.765587326405617e-11,True,sym,True,False,0.8524546771761394,0.01794743537902832,True,0.8863245855973203,0.02051312160401958,
C10,2,6,sym3ph,30.0,1.0,0.0,10,REACTIVE,True,0.2483154535293579,False,5.624685189416949e-11,True,sym,True,False,0.8696785994283855,0.006474107503890991,True,0.8646634247808701,0.053004862828694876,
C10,2,6,sym3ph,30.0,1.0,0.0,14,REACTIVE,True,0.25364238023757935,False,5.569448557415419e-11,True,sym,True,False,0.8773193176975576,0.0016262531280517578,True,0.8561721021857776,0.06574184672133371,
C10,2,6,sym3ph,30.0,1.0,0.0,17,REACTIVE,True,0.25541889667510986,False,5.549475592551529e-11,True,sym,True,False,0.8798831705624135,-0.0002572983503341675,True,0.8531017522646841,0.07034737160297388,
C10,2,6,sym3ph,30.0,1.0,0.0,28,REACTIVE,True,0.24273401498794556,False,5.684686584854341e-11,True,sym,True,False,0.8620069901883876,0.011502355337142944,True,0.8738860867829372,0.0391708698255942,
C10,2,6,sym3ph,30.0,1.0,0.0,31,REACTIVE,True,0.25150787830352783,False,5.5922052157893904e-11,True,sym,True,False,0.8739385500050239,0.0037352144718170166,True,0.8596685590720967,0.06049716139185496,
C10,2,6,sym3ph,30.0,1.0,0.0,33,REACTIVE,True,0.25188112258911133,False,5.5881242225790126e-11,True,sym,True,False,0.874490146095644,0.003386884927749634,True,0.8590416427249296,0.0614375359126057,
C10,3,6,sym3ph,30.0,0.7,0.0,10,REACTIVE,True,0.2340211272239685,False,5.77833818464564e-11,True,sym,True,False,0.8509307498847902,0.01893553137779236,True,0.8882783782645828,0.017582432603125864,
C10,3,6,sym3ph,30.0,0.7,0.0,14,REACTIVE,True,0.23699569702148438,False,5.7453822929606874e-11,True,sym,True,False,0.8549279021297761,0.016319304704666138,True,0.8832115875979073,0.025182618603139084,
C10,3,6,sym3ph,30.0,0.7,0.0,17,REACTIVE,True,0.2379896640777588,False,5.7348975029650584e-11,True,sym,True,False,0.8562289840207226,0.015459567308425903,True,0.8816001152221211,0.027599827166818358,
C10,3,6,sym3ph,30.0,0.7,0.0,28,REACTIVE,True,0.23091775178909302,False,5.81362268833874e-11,True,sym,True,False,0.8469970036360703,0.021578237414360046,True,0.8937035359349005,0.009444696097649308,
C10,3,6,sym3ph,30.0,0.7,0.0,31,REACTIVE,True,0.23608005046844482,False,5.7549220406916064e-11,True,sym,True,False,0.8537537035400131,0.017095953226089478,True,0.8846772722446383,0.022984091633042547,
C10,3,6,sym3ph,30.0,0.7,0.0,33,REACTIVE,True,0.23625504970550537,False,5.7531265972284765e-11,True,sym,True,False,0.8539719079516535,0.016951411962509155,True,0.8844018104216262,0.023397284367560667,
C10,4,9,sym3ph,3.0,0.7,0.3,4,REACTIVE,True,0.24363428354263306,False,5.674781815918233e-11,True,sym,True,False,0.8631677014629989,0.010719329118728638,True,0.8723623298165734,0.04145650527514,
C10,5,30,sym3ph,0.3,0.7,0.3,4,REACTIVE,True,0.2676928639411926,False,5.3821026719786034e-11,True,sym,True,False,0.8762192178819695,-0.013263925909996033,True,0.8273687942995426,0.10894680855068617,
C10,5,30,sym3ph,0.3,0.7,0.3,24,REACTIVE,True,0.23531126976013184,False,5.7630886822294457e-11,True,sym,True,False,0.8527920031429747,0.017751500010490417,True,0.885937264477845,0.021094103283232468,
C10,5,30,sym3ph,0.3,0.7,0.3,31,CONNECT,True,0.27,True,4.602760447453406e-12,True,sym,True,False,0.7543029765783277,0.03884443640708923,False,0.0707564736617598,0.3,
C10,5,30,sym3ph,0.3,0.7,0.3,33,CONNECT,True,0.27,True,5.203299414784299e-12,True,sym,True,False,0.7562698153000312,0.03780922293663025,False,0.07998832106052932,0.3,
C10,6,25,sym3ph,0.3,1.0,0.6,4,REACTIVE,True,0.27,False,5.277973599689198e-11,True,sym,True,False,0.874726731809647,-0.021957308053970337,True,0.8113605106659334,0.13295923400109994,
C10,10,18,sym3ph,0.3,1.0,0.6,17,CONNECT,True,0.27,True,5.1877096213664425e-12,True,sym,True,False,0.756218942758087,0.03783600032329559,False,0.07974895005421488,0.3,
C10,10,18,sym3ph,0.3,1.0,0.6,28,REACTIVE,True,0.27,False,5.25628444837691e-11,True,sym,True,False,0.8745022741317733,-0.02309170365333557,True,0.8080291816012505,0.13795622759812431,
C10,11,9,sym3ph,0.3,1.0,0.3,,NONCONVERGED,,,,,,,,,,,,,,
C10,18,3,1ph_g,1.0,1.0,0.0,,NONCONVERGED,,,,,,,,,,,,,,
C10,35,14,2ph,30.0,1.0,0.3,28,REACTIVE,True,0.2249489426612854,False,0.047571985776482764,True,sym,True,False,0.8390752401820291,0.026604652404785156,True,0.8988977679212478,0.0016533481181283949,
C10,35,14,2ph,30.0,1.0,0.3,31,REACTIVE,True,0.23206084966659546,False,0.04761732488191503,True,sym,True,False,0.8474572687806472,0.020892620086669922,True,0.8867950868721792,0.01980736969173119,
C10,35,14,2ph,30.0,1.0,0.3,33,REACTIVE,True,0.23234182596206665,False,0.04761822633283701,True,sym,True,False,0.8478385695317919,0.020644068717956543,True,0.886302166012185,0.020546750981722484,
C10,43,30,2ph_g,1.0,1.0,0.3,4,REACTIVE,True,0.23392927646636963,False,0.04861592112719679,True,sym,True,False,0.8497892848491426,0.0193452388048172,True,0.8837012176514474,0.024448173522828964,
C10,44,9,2ph_g,1.0,1.0,0.3,4,REACTIVE,True,0.2319713830947876,False,0.0472444193237834,True,sym,True,False,0.8473424040621624,0.020970016717910767,True,0.8869905393157022,0.019514191026446803,
C10,47,30,2ph_g,30.0,1.0,0.3,10,REACTIVE,True,0.22687172889709473,False,0.023872715813191177,True,sym,True,False,0.8417029448619384,0.025009751319885254,True,0.8982586509378803,0.0026120235931796354,
C10,47,30,2ph_g,30.0,1.0,0.3,14,REACTIVE,True,0.23088794946670532,False,0.024085952006586073,True,sym,True,False,0.8464068391128687,0.02176642417907715,True,0.8913045382554643,0.01304319261680359,
C10,47,30,2ph_g,30.0,1.0,0.3,17,REACTIVE,True,0.23226112127304077,False,0.024197369911036735,True,sym,True,False,0.8481199390996893,0.02061215043067932,True,0.8888756133412999,0.01668657998805012,
C10,47,30,2ph_g,30.0,1.0,0.3,28,REACTIVE,True,0.23966723680496216,False,0.04062021334453529,True,sym,True,False,0.8572957124771738,0.01440843939781189,True,0.8751919195518907,0.037212120672164006,
