scenario_id,stage,topology,fault_family,balance_type,fault_pu_a,fault_pu_b,fault_pu_c,fault_pu_pos,fault_duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,priority,simulink_support,notes
topology1_lvrt090_a_060ms,stage1_unbalanced_support,topology1,LVRT,a_phase,0.90,1.00,1.00,0.97,0.060,0.080,0.125,0.020,unbalanced_smoke,supported,per-phase source/observation smoke passed; topology1 A-phase LVRT voltage-survival specialist accepted with tau=0
topology1_lvrt075_a_060ms,stage1_unbalanced_support,topology1,LVRT,a_phase,0.75,1.00,1.00,0.92,0.060,0.080,0.125,0.020,unbalanced_boundary,supported,per-phase source/observation smoke passed; deeper A-phase LVRT remains boundary-scan work
topology1_lvrt090_ab_060ms,stage1_unbalanced_support,topology1,LVRT,ab_phase,0.90,0.90,1.00,0.93,0.060,0.080,0.125,0.020,unbalanced_smoke,supported,per-phase source/observation smoke passed; topology1 AB LVRT voltage-survival specialist accepted with tau=0
topology1_hvrt110_a_060ms,stage1_unbalanced_support,topology1,HVRT,a_phase,1.10,1.00,1.00,1.03,0.060,0.080,0.125,0.020,unbalanced_smoke,supported,per-phase source/observation smoke passed; HVRT specialist not yet promoted
topology2_lvrt090_a_060ms,stage1_unbalanced_support,topology2,LVRT,a_phase,0.90,1.00,1.00,0.97,0.060,0.080,0.125,0.020,unbalanced_smoke,supported,per-phase source/observation smoke passed; topology2 actor still blocked by energy/DC-link dynamics
topology2_lvrt075_a_060ms,stage1_unbalanced_support,topology2,LVRT,a_phase,0.75,1.00,1.00,0.92,0.060,0.080,0.125,0.020,unbalanced_boundary,supported,per-phase source/observation smoke passed; deeper A-phase LVRT remains boundary-scan work
topology2_lvrt090_ab_060ms,stage1_unbalanced_support,topology2,LVRT,ab_phase,0.90,0.90,1.00,0.93,0.060,0.080,0.125,0.020,unbalanced_smoke,supported,per-phase source/observation smoke passed; topology2 actor still blocked by energy/DC-link dynamics
topology2_hvrt110_a_060ms,stage1_unbalanced_support,topology2,HVRT,a_phase,1.10,1.00,1.00,1.03,0.060,0.080,0.125,0.020,unbalanced_smoke,supported,per-phase source/observation smoke passed; HVRT specialist not yet promoted
topology1_lvrt095_bal_060ms,stage2_boundary,topology1,LVRT,balanced,0.95,0.95,0.95,0.95,0.060,0.080,0.125,0.020,boundary_map,supported,traditional baseline should pass; confirms non-fault margin
topology1_lvrt080_bal_060ms,stage2_boundary,topology1,LVRT,balanced,0.80,0.80,0.80,0.80,0.060,0.080,0.125,0.020,boundary_map,supported,traditional/SAC boundary candidate
topology1_lvrt070_bal_060ms,stage2_boundary,topology1,LVRT,balanced,0.70,0.70,0.70,0.70,0.060,0.080,0.125,0.020,boundary_map,supported,hard sag boundary candidate
topology1_hvrt105_bal_060ms,stage2_boundary,topology1,HVRT,balanced,1.05,1.05,1.05,1.05,0.060,0.080,0.125,0.020,boundary_map,supported,traditional baseline should pass; confirms non-fault margin
topology1_hvrt115_bal_060ms,stage2_boundary,topology1,HVRT,balanced,1.15,1.15,1.15,1.15,0.060,0.080,0.125,0.020,boundary_map,supported,traditional/SAC boundary candidate
topology1_hvrt125_bal_060ms,stage2_boundary,topology1,HVRT,balanced,1.25,1.25,1.25,1.25,0.060,0.080,0.125,0.020,boundary_map,supported,hard swell boundary candidate
topology2_lvrt095_bal_060ms,stage2_boundary,topology2,LVRT,balanced,0.95,0.95,0.95,0.95,0.060,0.080,0.125,0.020,boundary_map,supported,traditional baseline should pass; confirms non-fault margin
topology2_lvrt080_bal_060ms,stage2_boundary,topology2,LVRT,balanced,0.80,0.80,0.80,0.80,0.060,0.080,0.125,0.020,boundary_map,supported,traditional/SAC boundary candidate
topology2_lvrt070_bal_060ms,stage2_boundary,topology2,LVRT,balanced,0.70,0.70,0.70,0.70,0.060,0.080,0.125,0.020,boundary_map,supported,hard sag boundary candidate
topology2_hvrt105_bal_060ms,stage2_boundary,topology2,HVRT,balanced,1.05,1.05,1.05,1.05,0.060,0.080,0.125,0.020,boundary_map,supported,traditional baseline should pass; confirms non-fault margin
topology2_hvrt115_bal_060ms,stage2_boundary,topology2,HVRT,balanced,1.15,1.15,1.15,1.15,0.060,0.080,0.125,0.020,boundary_map,supported,traditional/SAC boundary candidate
topology2_hvrt125_bal_060ms,stage2_boundary,topology2,HVRT,balanced,1.25,1.25,1.25,1.25,0.060,0.080,0.125,0.020,boundary_map,supported,hard swell boundary candidate
