scenario_row,rollout_id,strategy_id,predicted_class,true_class,correct,confidence,gated
307,307,3,6,6,1,0.8971,0
308,308,0,6,6,1,0.5054,1
309,309,3,6,6,1,0.998,0
310,310,0,6,6,1,0.4241,1
311,311,0,2,6,0,0.8571,0
312,312,3,6,6,1,1.0,0
313,313,0,0,6,0,0.7607,1
314,314,0,6,6,1,0.8035,1
315,315,3,5,6,0,0.9261,0
316,316,3,6,6,1,0.898,0
317,317,3,6,6,1,0.9856,0
318,318,3,6,6,1,0.9541,0
319,319,0,1,6,0,0.5081,1
320,320,0,1,6,0,0.6427,1
321,321,0,6,6,1,0.481,1
322,322,0,1,6,0,0.5949,1
323,323,0,6,6,1,0.8314,1
324,324,0,2,6,0,0.9272,0
325,325,0,6,6,1,0.4771,1
326,326,3,6,6,1,0.9979,0
327,327,3,6,6,1,0.9761,0
328,328,3,6,6,1,0.9989,0
329,329,3,6,6,1,0.9843,0
330,330,3,6,6,1,0.9419,0
331,331,0,6,6,1,0.5956,1
332,332,0,6,6,1,0.7399,1
333,333,3,6,6,1,0.9986,0
334,334,3,6,6,1,0.9999,0
335,335,3,6,6,1,0.9944,0
336,336,0,6,6,1,0.7378,1
337,337,3,6,6,1,0.9998,0
338,338,3,6,6,1,1.0,0
339,339,0,6,6,1,0.4227,1
340,340,0,6,6,1,0.7745,1
341,341,0,1,6,0,0.3919,1
342,342,0,2,6,0,0.6547,1
343,343,0,6,6,1,0.719,1
344,344,3,6,6,1,0.9999,0
345,345,0,6,6,1,0.5485,1
346,346,0,2,6,0,0.5718,1
347,347,3,6,6,1,0.9953,0
348,348,0,6,6,1,0.8329,1
349,349,0,6,6,1,0.8468,1
350,350,0,1,6,0,0.641,1
