scenario_id,sc_id,sc_label,run_idx,T_sim,P_load,Q_load,power_factor,t_fault,fault_variant,fault_mag,fault_resistance,ground_resistance,random_seed
75,3,igbt_oc_sh,25,0.05,341014.012269,112234.223306,0.949877,0.0283342,6,0.897589,0.01,0.01,20260525
76,3,igbt_oc_sh,26,0.05,301737.509341,166557.637172,0.875477,0.01623924,2,0.891496,0.01,0.01,20260525
77,3,igbt_oc_sh,27,0.05,314139.776999,172700.868568,0.876305,0.01748215,2,0.832584,0.01,0.01,20260525
78,3,igbt_oc_sh,28,0.05,359536.753222,183856.563742,0.890341,0.02346141,3,0.794653,0.01,0.01,20260525
79,3,igbt_oc_sh,29,0.05,307893.094248,157898.920273,0.889812,0.01760644,3,0.914858,0.01,0.01,20260525
80,3,igbt_oc_sh,30,0.05,342227.274424,205834.329158,0.856942,0.02732506,4,0.809459,0.01,0.01,20260525
81,3,igbt_oc_sh,31,0.05,330428.997625,183580.55693,0.874147,0.02099693,2,0.798535,0.01,0.01,20260525
82,3,igbt_oc_sh,32,0.05,355772.805887,180456.695621,0.891835,0.02257814,3,0.951638,0.01,0.01,20260525
83,3,igbt_oc_sh,33,0.05,314310.129957,125971.880924,0.928224,0.02862603,2,0.769834,0.01,0.01,20260525
84,3,igbt_oc_sh,34,0.05,319159.139311,147548.631957,0.907695,0.02371273,3,0.81032,0.01,0.01,20260525
85,3,igbt_oc_sh,35,0.05,351058.002781,215020.731493,0.852757,0.01950878,4,0.967503,0.01,0.01,20260525
86,3,igbt_oc_sh,36,0.05,355457.277218,203529.306676,0.867811,0.02349518,3,0.967566,0.01,0.01,20260525
87,3,igbt_oc_sh,37,0.05,318706.133132,170214.473338,0.882079,0.01902559,3,0.810627,0.01,0.01,20260525
88,3,igbt_oc_sh,38,0.05,289367.08658,116990.343406,0.927097,0.01310631,6,0.845942,0.01,0.01,20260525
89,3,igbt_oc_sh,39,0.05,340374.215356,153045.626863,0.912045,0.01558933,2,0.754348,0.01,0.01,20260525
90,3,igbt_oc_sh,40,0.05,299996.477307,155253.266753,0.888118,0.01428677,1,0.814853,0.01,0.01,20260525
91,3,igbt_oc_sh,41,0.05,319368.967294,127556.494305,0.928668,0.01495573,1,0.962937,0.01,0.01,20260525
92,3,igbt_oc_sh,42,0.05,311397.124425,179444.087224,0.866436,0.02482694,3,0.838513,0.01,0.01,20260525
93,3,igbt_oc_sh,43,0.05,302821.597344,160892.799389,0.883093,0.02421541,1,0.998334,0.01,0.01,20260525
94,3,igbt_oc_sh,44,0.05,323054.430511,109325.574528,0.94723,0.02295567,4,0.98317,0.01,0.01,20260525
95,3,igbt_oc_sh,45,0.05,280965.579653,95341.366907,0.946965,0.0263399,2,0.779611,0.01,0.01,20260525
96,3,igbt_oc_sh,46,0.05,317302.671062,176683.330227,0.873685,0.01315405,1,0.812695,0.01,0.01,20260525
97,3,igbt_oc_sh,47,0.05,325573.689454,130481.68507,0.928229,0.01635596,2,0.936051,0.01,0.01,20260525
98,3,igbt_oc_sh,48,0.05,308965.256677,188405.799466,0.853781,0.02496564,2,0.752406,0.01,0.01,20260525
99,3,igbt_oc_sh,49,0.05,337926.529341,171577.459311,0.891651,0.01533121,4,0.871829,0.01,0.01,20260525
100,3,igbt_oc_sh,50,0.05,346554.706804,114281.414118,0.949695,0.02068519,3,0.790111,0.01,0.01,20260525
101,4,igbt_oc_se,1,0.05,349285.61896,147555.325937,0.921175,0.01367883,2,0.859662,0.01,0.01,20260525
102,4,igbt_oc_se,2,0.05,353538.913134,182086.545568,0.889015,0.02457997,2,0.854519,0.01,0.01,20260525
103,4,igbt_oc_se,3,0.05,358452.473282,147103.831163,0.925127,0.01599134,2,0.924516,0.01,0.01,20260525
104,4,igbt_oc_se,4,0.05,356280.765137,148889.162584,0.922673,0.02356309,4,0.848407,0.01,0.01,20260525
105,4,igbt_oc_se,5,0.05,320014.399036,147205.846597,0.908491,0.01793576,3,0.755701,0.01,0.01,20260525
106,4,igbt_oc_se,6,0.05,282373.453135,117129.367881,0.923687,0.01941769,4,0.828414,0.01,0.01,20260525
107,4,igbt_oc_se,7,0.05,296011.821923,141201.642865,0.902572,0.019097,4,0.806156,0.01,0.01,20260525
108,4,igbt_oc_se,8,0.05,336636.20462,152682.389184,0.910707,0.01585517,1,0.990137,0.01,0.01,20260525
109,4,igbt_oc_se,9,0.05,302480.917682,149445.863059,0.896545,0.01717658,2,0.893031,0.01,0.01,20260525
110,4,igbt_oc_se,10,0.05,302535.929093,102224.789093,0.947379,0.02636538,1,0.958146,0.01,0.01,20260525
111,4,igbt_oc_se,11,0.05,329769.490934,131293.774802,0.929072,0.01423273,3,0.762509,0.01,0.01,20260525
112,4,igbt_oc_se,12,0.05,346617.084111,171527.917956,0.896261,0.02475581,2,0.976625,0.01,0.01,20260525
113,4,igbt_oc_se,13,0.05,312258.030839,110185.152747,0.943013,0.02913389,1,0.959252,0.01,0.01,20260525
114,4,igbt_oc_se,14,0.05,355584.489388,151027.468507,0.92042,0.02371696,4,0.759944,0.01,0.01,20260525
115,4,igbt_oc_se,15,0.05,307038.391249,128415.752243,0.922561,0.01756984,4,0.929735,0.01,0.01,20260525
116,4,igbt_oc_se,16,0.05,293097.135519,177940.759248,0.854802,0.02504106,2,0.822592,0.01,0.01,20260525
117,4,igbt_oc_se,17,0.05,357313.130091,205929.616799,0.866409,0.01974341,2,0.889673,0.01,0.01,20260525
118,4,igbt_oc_se,18,0.05,301838.930873,146339.996963,0.899821,0.0204459,2,0.789809,0.01,0.01,20260525
119,4,igbt_oc_se,19,0.05,299840.291515,109093.153472,0.939733,0.02278437,4,0.855135,0.01,0.01,20260525
120,4,igbt_oc_se,20,0.05,315136.490218,134262.084774,0.919985,0.02594549,1,0.883758,0.01,0.01,20260525
121,4,igbt_oc_se,21,0.05,296766.541392,160646.527564,0.879419,0.01452731,2,0.774416,0.01,0.01,20260525
122,4,igbt_oc_se,22,0.05,355462.467126,191874.480894,0.879983,0.0139814,3,0.878078,0.01,0.01,20260525
123,4,igbt_oc_se,23,0.05,304602.133761,187700.920678,0.851342,0.01763589,3,0.842969,0.01,0.01,20260525
124,4,igbt_oc_se,24,0.05,301003.525244,160790.81908,0.882042,0.0175569,2,0.910136,0.01,0.01,20260525
125,4,igbt_oc_se,25,0.05,307588.95051,136704.484811,0.913813,0.02088583,2,0.990637,0.01,0.01,20260525
126,4,igbt_oc_se,26,0.05,345312.473554,189204.859548,0.876984,0.01446778,1,0.98013,0.01,0.01,20260525
127,4,igbt_oc_se,27,0.05,292091.863223,158712.039603,0.878667,0.01801044,3,0.831132,0.01,0.01,20260525
128,4,igbt_oc_se,28,0.05,357821.74932,159085.496381,0.913761,0.02081267,3,0.768842,0.01,0.01,20260525
129,4,igbt_oc_se,29,0.05,332264.683727,193105.652574,0.864588,0.02119379,4,0.924066,0.01,0.01,20260525
130,4,igbt_oc_se,30,0.05,341759.509476,137377.200185,0.927845,0.02697287,3,0.880896,0.01,0.01,20260525
131,4,igbt_oc_se,31,0.05,340986.890396,142682.241851,0.922495,0.02476988,4,0.847773,0.01,0.01,20260525
132,4,igbt_oc_se,32,0.05,314447.812968,161190.814674,0.889892,0.02612791,3,0.813714,0.01,0.01,20260525
133,4,igbt_oc_se,33,0.05,286577.387656,101976.91781,0.942129,0.02080296,1,0.839904,0.01,0.01,20260525
134,4,igbt_oc_se,34,0.05,300505.35953,173272.350936,0.866306,0.02677599,2,0.892956,0.01,0.01,20260525
135,4,igbt_oc_se,35,0.05,322550.151724,137450.44711,0.919954,0.02471725,4,0.819643,0.01,0.01,20260525
136,4,igbt_oc_se,36,0.05,349801.967321,152505.522663,0.916669,0.02662048,3,0.871109,0.01,0.01,20260525
137,4,igbt_oc_se,37,0.05,284040.500023,132411.833736,0.906355,0.01278307,4,0.863451,0.01,0.01,20260525
138,4,igbt_oc_se,38,0.05,301258.796221,181923.27504,0.856025,0.01218378,1,0.900104,0.01,0.01,20260525
139,4,igbt_oc_se,39,0.05,333350.68986,144001.183428,0.918008,0.02194887,3,0.927723,0.01,0.01,20260525
140,4,igbt_oc_se,40,0.05,313262.91228,106014.439982,0.947228,0.02945027,3,0.808913,0.01,0.01,20260525
141,4,igbt_oc_se,41,0.05,354199.63206,155010.225158,0.916112,0.01836146,1,0.906278,0.01,0.01,20260525
142,4,igbt_oc_se,42,0.05,342275.364812,210476.077934,0.85183,0.02161564,4,0.841265,0.01,0.01,20260525
143,4,igbt_oc_se,43,0.05,318057.190695,168543.731768,0.883603,0.02221072,3,0.953989,0.01,0.01,20260525
144,4,igbt_oc_se,44,0.05,339418.50621,144290.554975,0.920294,0.02527755,3,0.823722,0.01,0.01,20260525
145,4,igbt_oc_se,45,0.05,294718.706828,172962.828416,0.862447,0.01376401,4,0.919616,0.01,0.01,20260525
146,4,igbt_oc_se,46,0.05,333760.045437,206689.497315,0.850178,0.01606726,4,0.769883,0.01,0.01,20260525
147,4,igbt_oc_se,47,0.05,352272.616435,184430.611586,0.885928,0.01639314,1,0.775428,0.01,0.01,20260525
148,4,igbt_oc_se,48,0.05,322626.164426,133631.860284,0.923884,0.01951944,3,0.756752,0.01,0.01,20260525
149,4,igbt_oc_se,49,0.05,314678.326731,139637.931995,0.914048,0.0130516,1,0.764719,0.01,0.01,20260525
150,4,igbt_oc_se,50,0.05,335418.449156,142432.911754,0.920449,0.02127043,2,0.850079,0.01,0.01,20260525
151,5,cap_fault,1,0.05,311684.931816,180264.253769,0.865649,0.02736548,1,1.0,0.01,0.01,20260525
152,5,cap_fault,2,0.05,280487.645051,145582.783902,0.887567,0.01909212,1,1.0,0.01,0.01,20260525
153,5,cap_fault,3,0.05,281544.757618,144519.052038,0.889641,0.01855857,1,1.0,0.01,0.01,20260525
154,5,cap_fault,4,0.05,349775.188255,199182.366417,0.86898,0.02480287,1,1.0,0.01,0.01,20260525
155,5,cap_fault,5,0.05,296170.003617,146941.707255,0.895806,0.02634194,1,1.0,0.01,0.01,20260525
156,5,cap_fault,6,0.05,326458.874651,150983.912402,0.907631,0.01395931,1,1.0,0.01,0.01,20260525
157,5,cap_fault,7,0.05,339463.801401,196231.411192,0.865758,0.01614104,1,1.0,0.01,0.01,20260525
158,5,cap_fault,8,0.05,326455.487174,124742.742997,0.934127,0.02718125,1,1.0,0.01,0.01,20260525
159,5,cap_fault,9,0.05,302235.313494,140980.231435,0.906255,0.01370595,1,1.0,0.01,0.01,20260525
160,5,cap_fault,10,0.05,286814.466358,95692.890444,0.948596,0.01897245,1,1.0,0.01,0.01,20260525
161,5,cap_fault,11,0.05,322774.706961,172208.67187,0.882282,0.02175563,1,1.0,0.01,0.01,20260525
162,5,cap_fault,12,0.05,353630.869685,117651.097199,0.948865,0.01357367,1,1.0,0.01,0.01,20260525
163,5,cap_fault,13,0.05,335965.907684,202584.596369,0.856361,0.01872214,1,1.0,0.01,0.01,20260525
164,5,cap_fault,14,0.05,349192.57742,184502.223241,0.884169,0.01443799,1,1.0,0.01,0.01,20260525
165,5,cap_fault,15,0.05,353138.167497,155114.45464,0.915569,0.02406757,1,1.0,0.01,0.01,20260525
166,5,cap_fault,16,0.05,303264.037489,170939.56775,0.871141,0.02390234,1,1.0,0.01,0.01,20260525
167,5,cap_fault,17,0.05,318445.979808,182907.356601,0.86714,0.01293127,1,1.0,0.01,0.01,20260525
168,5,cap_fault,18,0.05,353038.004279,167774.594154,0.903197,0.02790329,1,1.0,0.01,0.01,20260525
169,5,cap_fault,19,0.05,302232.673979,107680.723726,0.941998,0.01500558,1,1.0,0.01,0.01,20260525
170,5,cap_fault,20,0.05,342540.90814,206787.821295,0.856097,0.02304151,1,1.0,0.01,0.01,20260525
171,5,cap_fault,21,0.05,316971.133601,125283.850665,0.929991,0.0226911,1,1.0,0.01,0.01,20260525
172,5,cap_fault,22,0.05,300591.488413,184460.713696,0.852314,0.02379293,1,1.0,0.01,0.01,20260525
173,5,cap_fault,23,0.05,357031.944816,145914.601024,0.925678,0.01525018,1,1.0,0.01,0.01,20260525
174,5,cap_fault,24,0.05,326020.838094,181116.041252,0.874165,0.02391697,1,1.0,0.01,0.01,20260525
175,5,cap_fault,25,0.05,300305.973959,164217.936984,0.877386,0.01691541,1,1.0,0.01,0.01,20260525
176,5,cap_fault,26,0.05,350116.867891,159652.381928,0.909868,0.02206191,1,1.0,0.01,0.01,20260525
177,5,cap_fault,27,0.05,288623.941336,151262.293794,0.885733,0.02463334,1,1.0,0.01,0.01,20260525
178,5,cap_fault,28,0.05,349783.552301,198802.605024,0.86939,0.02799909,1,1.0,0.01,0.01,20260525
179,5,cap_fault,29,0.05,346590.540214,191574.248586,0.875202,0.02294302,1,1.0,0.01,0.01,20260525
180,5,cap_fault,30,0.05,324788.977278,119383.831354,0.938601,0.01993827,1,1.0,0.01,0.01,20260525
181,5,cap_fault,31,0.05,303569.556141,131489.838562,0.917618,0.02163212,1,1.0,0.01,0.01,20260525
182,5,cap_fault,32,0.05,340683.488382,205077.173064,0.856752,0.02453838,1,1.0,0.01,0.01,20260525
183,5,cap_fault,33,0.05,335059.371506,187118.101153,0.873078,0.01681857,1,1.0,0.01,0.01,20260525
184,5,cap_fault,34,0.05,290316.64547,102979.630495,0.942465,0.01624561,1,1.0,0.01,0.01,20260525
185,5,cap_fault,35,0.05,334596.72203,124444.742481,0.937273,0.02283442,1,1.0,0.01,0.01,20260525
186,5,cap_fault,36,0.05,339275.527094,129230.624646,0.934503,0.02954387,1,1.0,0.01,0.01,20260525
187,5,cap_fault,37,0.05,358063.899409,215145.263958,0.857169,0.02749687,1,1.0,0.01,0.01,20260525
188,5,cap_fault,38,0.05,289687.192766,101764.519399,0.943478,0.01954913,1,1.0,0.01,0.01,20260525
189,5,cap_fault,39,0.05,329991.691214,120769.730986,0.939085,0.02007463,1,1.0,0.01,0.01,20260525
190,5,cap_fault,40,0.05,330842.33188,147906.592063,0.912923,0.02473343,1,1.0,0.01,0.01,20260525
191,5,cap_fault,41,0.05,281379.224456,172019.026039,0.853194,0.01804568,1,1.0,0.01,0.01,20260525
192,5,cap_fault,42,0.05,296662.427329,155571.611294,0.885614,0.01214184,1,1.0,0.01,0.01,20260525
193,5,cap_fault,43,0.05,311103.350743,127444.601166,0.925364,0.01586368,1,1.0,0.01,0.01,20260525
194,5,cap_fault,44,0.05,331577.463716,189424.01709,0.868298,0.01588033,1,1.0,0.01,0.01,20260525
195,5,cap_fault,45,0.05,289759.949045,137396.742286,0.903566,0.02213001,1,1.0,0.01,0.01,20260525
196,5,cap_fault,46,0.05,312230.743803,177545.174057,0.869287,0.02517271,1,1.0,0.01,0.01,20260525
197,5,cap_fault,47,0.05,358831.536533,219893.515007,0.852639,0.02418328,1,1.0,0.01,0.01,20260525
198,5,cap_fault,48,0.05,352954.512771,136863.333299,0.932358,0.02651566,1,1.0,0.01,0.01,20260525
199,5,cap_fault,49,0.05,314070.29691,104858.699764,0.94853,0.02849361,1,1.0,0.01,0.01,20260525
200,5,cap_fault,50,0.05,286965.960249,103794.563155,0.940378,0.02350863,1,1.0,0.01,0.01,20260525
201,6,sc_1ph,1,0.05,305740.114883,126350.066806,0.924191,0.02562173,3,0.818901,0.474138,0.474138,20260525
202,6,sc_1ph,2,0.05,324899.811884,183389.791093,0.870849,0.02247954,2,0.81116,0.269705,0.269705,20260525
203,6,sc_1ph,3,0.05,283211.822583,152960.555491,0.879871,0.01354655,3,0.930141,0.381616,0.381616,20260525
204,6,sc_1ph,4,0.05,282734.678126,143449.879312,0.891784,0.01893035,1,0.937087,0.397686,0.397686,20260525
205,6,sc_1ph,5,0.05,335176.903352,187534.98662,0.872688,0.02561352,3,0.924029,0.439577,0.439577,20260525
206,6,sc_1ph,6,0.05,359277.656001,126187.777638,0.943497,0.02415079,3,0.963211,0.450759,0.450759,20260525
207,6,sc_1ph,7,0.05,316794.314025,195285.950226,0.851256,0.02261871,2,0.910752,0.371476,0.371476,20260525
208,6,sc_1ph,8,0.05,288593.996522,107236.266014,0.937378,0.02883553,3,0.84997,0.436165,0.436165,20260525
209,6,sc_1ph,9,0.05,310491.458903,178115.100055,0.86741,0.01605274,1,0.978827,0.462654,0.462654,20260525
210,6,sc_1ph,10,0.05,325033.488785,166904.143534,0.889573,0.01932319,3,0.86054,0.407368,0.407368,20260525
211,6,sc_1ph,11,0.05,298538.486831,136267.837791,0.909713,0.01573791,2,0.899386,0.423003,0.423003,20260525
212,6,sc_1ph,12,0.05,321512.263107,123205.787642,0.933786,0.02854055,1,0.948804,0.36789,0.36789,20260525
213,6,sc_1ph,13,0.05,293109.798329,109859.505123,0.936389,0.02036717,3,0.907208,0.401913,0.401913,20260525
214,6,sc_1ph,14,0.05,290553.120187,104925.459962,0.94055,0.01508334,2,0.926708,0.362205,0.362205,20260525
215,6,sc_1ph,15,0.05,341425.61137,193769.871011,0.869699,0.02823401,2,0.903744,0.340273,0.340273,20260525
216,6,sc_1ph,16,0.05,299213.409911,159394.732322,0.88258,0.02409873,2,0.994164,0.367565,0.367565,20260525
217,6,sc_1ph,17,0.05,287465.084114,163445.106697,0.86931,0.01629387,2,0.877587,0.441599,0.441599,20260525
218,6,sc_1ph,18,0.05,309698.781082,176335.827163,0.86901,0.02539815,1,0.987089,0.470268,0.470268,20260525
219,6,sc_1ph,19,0.05,287516.796789,127399.928765,0.914266,0.01794854,1,0.818678,0.482769,0.482769,20260525
220,6,sc_1ph,20,0.05,311140.306424,188257.596018,0.855578,0.02519406,2,0.955213,0.250705,0.250705,20260525
221,6,sc_1ph,21,0.05,337177.279474,169108.691851,0.893875,0.02199352,3,0.975199,0.310738,0.310738,20260525
222,6,sc_1ph,22,0.05,310333.949025,114502.02369,0.938178,0.01423301,3,0.993376,0.399168,0.399168,20260525
223,6,sc_1ph,23,0.05,337954.28772,144271.762334,0.919702,0.01978851,3,0.965775,0.465634,0.465634,20260525
224,6,sc_1ph,24,0.05,345728.881719,213325.099295,0.851033,0.01897075,2,0.848409,0.411765,0.411765,20260525
225,6,sc_1ph,25,0.05,334445.300714,139969.962647,0.922471,0.01584283,3,0.837496,0.326511,0.326511,20260525
226,6,sc_1ph,26,0.05,331286.585507,199842.280107,0.85627,0.01970855,2,0.887292,0.251141,0.251141,20260525
227,6,sc_1ph,27,0.05,337782.968771,137441.692171,0.926259,0.01549231,2,0.919196,0.316102,0.316102,20260525
228,6,sc_1ph,28,0.05,318223.403241,189394.587226,0.859321,0.02302435,3,0.947908,0.44516,0.44516,20260525
229,6,sc_1ph,29,0.05,319259.321821,130462.247311,0.925693,0.02012096,2,0.964917,0.499846,0.499846,20260525
230,6,sc_1ph,30,0.05,325179.013089,120541.080584,0.937651,0.02067535,3,0.887116,0.416157,0.416157,20260525
231,6,sc_1ph,31,0.05,292727.539712,132263.952005,0.911295,0.02823781,2,0.80776,0.353942,0.353942,20260525
232,6,sc_1ph,32,0.05,325659.03529,149979.839609,0.908303,0.0155869,1,0.927053,0.476114,0.476114,20260525
233,6,sc_1ph,33,0.05,327599.984345,191876.874387,0.862887,0.02859921,2,0.821445,0.27084,0.27084,20260525
234,6,sc_1ph,34,0.05,319369.457746,155920.54392,0.898624,0.02457013,3,0.961964,0.307978,0.307978,20260525
