scenario_idx,sc_id,m_sh,m_se_d,m_se_q
290,7,0.82,0.0,0.0
291,7,0.82,0.0,0.0
292,7,0.82,0.0,0.0
293,7,0.82,0.0,0.0
294,7,0.82,0.0,0.0
295,7,0.82,0.0,0.0
296,7,0.82,0.0,0.0
297,7,0.82,0.0,0.0
298,7,0.82,0.0,0.0
299,7,0.82,0.0,0.0
300,7,0.82,0.0,0.0
301,8,0.82,0.0,0.0
302,8,0.82,0.0,0.0
303,8,0.82,0.0,0.0
304,8,0.82,0.0,0.0
305,8,0.82,0.0,0.0
306,8,0.82,0.0,0.0
307,8,0.82,0.0,0.0
308,8,0.82,0.0,0.0
309,8,0.82,0.0,0.0
310,8,0.82,0.0,0.0
311,8,0.82,0.0,0.0
312,8,0.82,0.0,0.0
313,8,0.82,0.0,0.0
314,8,0.82,0.0,0.0
315,8,0.82,0.0,0.0
316,8,0.82,0.0,0.0
317,8,0.82,0.0,0.0
318,8,0.82,0.0,0.0
319,8,0.82,0.0,0.0
320,8,0.82,0.0,0.0
321,8,0.82,0.0,0.0
322,8,0.82,0.0,0.0
323,8,0.82,0.0,0.0
324,8,0.82,0.0,0.0
325,8,0.82,0.0,0.0
326,8,0.82,0.0,0.0
327,8,0.82,0.0,0.0
328,8,0.82,0.0,0.0
329,8,0.82,0.0,0.0
330,8,0.82,0.0,0.0
331,8,0.82,0.0,0.0
332,8,0.82,0.0,0.0
333,8,0.82,0.0,0.0
334,8,0.82,0.0,0.0
335,8,0.82,0.0,0.0
336,8,0.82,0.0,0.0
337,8,0.82,0.0,0.0
338,8,0.82,0.0,0.0
339,8,0.82,0.0,0.0
340,8,0.82,0.0,0.0
341,8,0.82,0.0,0.0
342,8,0.82,0.0,0.0
343,8,0.82,0.0,0.0
344,8,0.82,0.0,0.0
345,8,0.82,0.0,0.0
346,8,0.82,0.0,0.0
347,8,0.82,0.0,0.0
348,8,0.82,0.0,0.0
349,8,0.82,0.0,0.0
350,8,0.82,0.0,0.0
